NZ_GG666849.1	630786
NZ_GG666850.1	527896
NZ_GG666851.1	206535
NZ_GG666852.1	232851
NZ_GG666853.1	195148
NZ_GG666854.1	142578
NZ_GG666855.1	84197
NZ_GG666856.1	323391
NZ_GG666857.1	5377
NZ_GG666858.1	12475
NZ_GG666859.1	2183
NZ_GG666860.1	1935
NZ_GG666861.1	1493
NZ_GG666862.1	1328
NZ_GG666863.1	1320
NZ_GG666864.1	1012
NZ_GG666865.1	952
NZ_GG666866.1	861
NZ_GG666867.1	646
NZ_GG666868.1	518
NZ_GG666869.1	443
NZ_GG666870.1	422
NZ_GG666871.1	390
NZ_GG666872.1	377
NZ_GG666873.1	328
NZ_GG666874.1	294
NZ_GG666875.1	262
NZ_GG666876.1	241
NZ_GG666877.1	241
NZ_GG666878.1	241
NZ_GG666879.1	241
NZ_GG666880.1	241
NZ_GG666881.1	241
NZ_GG666882.1	241
NZ_GG666883.1	241
NZ_GG666884.1	241
NZ_GG666885.1	241
NZ_GG666886.1	241
NZ_GG666887.1	241
NZ_GG666888.1	241
NZ_GG666889.1	241
NZ_GG666890.1	241
NZ_GG666891.1	241
NZ_GG666892.1	241
NZ_GG666893.1	241
NZ_GG666894.1	241
NZ_GG666895.1	241
NZ_GG666896.1	241
NZ_GG666897.1	241
NZ_GG666898.1	241
NZ_GG666899.1	241
NZ_GG666900.1	241
NZ_GG666901.1	241
NZ_GG666902.1	241
NZ_GG666903.1	241
NZ_GG666904.1	241
NZ_GG666905.1	241
NZ_GG666906.1	241
NZ_GG666907.1	241
NZ_GG666908.1	241
NZ_GG666909.1	241
NZ_GG666910.1	241
NZ_GG666911.1	241
NZ_GG666912.1	241
NZ_GG666913.1	241
NZ_GG666914.1	241
NZ_GG666915.1	241
NZ_GG666916.1	241
NZ_GG666917.1	241
NZ_GG666918.1	241
NZ_GG666919.1	241
NZ_GG666920.1	241
NZ_GG666921.1	241
NZ_GG666922.1	241
NZ_GG666923.1	241
NZ_GG666924.1	240
NZ_GG666925.1	240
NZ_GG666926.1	240
NZ_GG666927.1	239
NZ_GG666928.1	239
NZ_GG666929.1	237
NZ_GG666930.1	237
NZ_GG666931.1	237
NZ_GG666932.1	237
NZ_GG666933.1	236
NZ_GG666934.1	236
NZ_GG666935.1	235
NZ_GG666936.1	235
NZ_GG666937.1	235
NZ_GG666938.1	233
NZ_GG666939.1	232
NZ_GG666940.1	231
NZ_GG666941.1	231
NZ_GG666942.1	230
NZ_GG666943.1	225
NZ_GG666944.1	224
NZ_GG666945.1	224
NZ_GG666946.1	224
NZ_GG666947.1	223
NZ_GG666948.1	223
NZ_GG666949.1	222
NZ_GG666950.1	222
NZ_GG666951.1	222
NZ_GG666952.1	222
NZ_GG666953.1	218
NZ_GG666954.1	216
