"","logFC","logCPM","F","PValue","FDR","genes"
"flgN",-0.331076032041903,6.99142550821543,4.61555879045268,0.044830831004527,0.0790257760819596,"flgN"
"gpsA",-0.227787789784096,8.41250476254825,4.50778274951523,0.0448678244185897,0.0790621736658354,"gpsA"
"hisP",-0.239622109169268,5.20991556096659,4.49823154257146,0.0450758593034621,0.0793998293703009,"hisP"
"cbiC",0.509564315083523,2.20258777697341,4.48770663967835,0.0453063641716833,0.0797768050594947,"cbiC"
"SL1344_0861",0.461824640770371,2.88012612615093,4.48086455932611,0.045456925519177,0.0800127906609386,"SL1344_0861"
"SL1344_1736",-0.29181558780002,3.96787030106736,4.46986461154758,0.0457001671800836,0.0804002803130322,"SL1344_1736"
"SL1344_2727",0.440890471238084,5.43635311812676,4.73905277969018,0.0457103102875416,0.0804002803130322,"SL1344_2727"
"SL1344_0705",0.397859616898693,3.24165521469968,4.46043685829651,0.0459098129480981,0.0807218339621776,"SL1344_0705"
"SL1344_3759",-0.419425176327502,3.25291589613173,4.45001480675803,0.0461428339177616,0.0811020667369959,"SL1344_3759"
"SL1344_0376",0.363525209153546,3.92540962430858,4.43532710645592,0.0464734994513885,0.0816239349478453,"SL1344_0376"
"yciN",-0.242655149950847,6.03324985579004,4.43578133170217,0.0464632334170009,0.0816239349478453,"yciN"
"yeiU",0.206393147733613,8.28725833713751,4.43394600209726,0.0465047298064678,0.0816491390467822,"yeiU"
"melA",0.397160681830927,3.15224564802838,4.43093853696977,0.0465728184567078,0.0817390141056225,"melA"
"SL1344_3703",0.284781184024638,4.43027791555096,4.42449120456074,0.0467191651292897,0.0819661232246551,"SL1344_3703"
"yhhK",-0.238486451704157,5.33894701917893,4.42090251723922,0.0468008490375099,0.0820796616368512,"yhhK"
"ybfN",0.415049155947568,2.37309856574669,4.41761584279916,0.0468758002610992,0.0821813141946128,"ybfN"
"yjjA",-0.231104628268421,4.98698932301536,4.41146257748283,0.0470164878107391,0.0823980983842555,"yjjA"
"acrR",0.235027825988729,6.84120927322123,4.40693238909545,0.0471203704674738,0.0824904929247813,"acrR"
"narV",0.393412879213353,3.0840000407855,4.40754661041812,0.0471062704481282,0.0824904929247813,"narV"
"SL1344_4095",-0.368701814832693,4.32915292733111,4.40799708943124,0.047095932315773,0.0824904929247813,"SL1344_4095"
"hisF",-0.268746203663292,7.45967999909846,4.41348677419174,0.0472659476603307,0.0827154084055786,"hisF"
"ydeE",0.323736192521951,4.29634440774715,4.39109615919654,0.047485557730723,0.0829938969701222,"ydeE"
"yneI",-0.259321731767983,5.28358947737876,4.39138475870793,0.0474788740076826,0.0829938969701222,"yneI"
