"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"gnd",-2.28617343669622,10.0769480487043,1000.6403770248,4.79385810746178e-26,2.31495408009329e-22,"SL1344_2058","gnd"
"nuoC",-2.58120961830529,9.46852889451694,599.26745457519,2.46336207923563e-19,4.89240489389903e-16,"SL1344_2295","nuoC"
"AmgR",2.35136812936985,5.86220602757339,363.321612365185,3.03939007697186e-19,4.89240489389903e-16,"AmgR","AmgR"
"nuoB",-2.53753710832167,8.10586134663802,501.489642727183,1.29031841026e-17,1.55773690078639e-14,"SL1344_2296","nuoB"
"virK",2.79486215278173,10.4303749066309,575.052567128926,2.19185703012003e-17,2.11689551968993e-14,"SL1344_2764","virK"
"glnA",-1.39707355364228,8.20622659019343,267.263076754081,2.85817996501402e-17,2.30035850850879e-14,"SL1344_3954","glnA"
"fabF",-1.21978645407753,10.5285411406071,254.462907112436,5.83505395961451e-17,4.02535365299692e-14,"SL1344_1134","fabF"
"mgtB",1.80958984486262,7.12099518868587,263.724385663717,3.54780372942343e-16,2.14154302617322e-13,"SL1344_3728","mgtB"
"nuoN",-1.57751767910078,7.62965486823079,240.953101058565,1.16367131511624e-15,6.2437430896626e-13,"SL1344_2285","nuoN"
"kdpD",1.40691869876022,7.51969284946895,213.414484765308,1.66184750387245e-15,7.73129383567033e-13,"SL1344_0685","kdpD"
"rlgA",1.03966176839679,8.27571307522552,200.519364625024,1.7611147689454e-15,7.73129383567033e-13,"SL1344_P1_0062","rlgA"
"gpmA",-1.01012246155223,9.73948058593948,196.109098182536,2.40792871412671e-15,8.94452904655221e-13,"SL1344_0749","gpmA"
"moeA",-1.29093611167993,6.26514067190243,197.180201212805,2.23053070552148e-15,8.94452904655221e-13,"SL1344_0822","moeA"
"yebC",-0.955082696244308,9.36913201898395,191.93833479166,3.25512259042244e-15,1.04793246594333e-12,"SL1344_1834","yebC"
"nuoE",-2.35876264056996,7.35745381696249,342.326599845111,3.09474701000631e-15,1.04793246594333e-12,"SL1344_2294","nuoE"
"sodCa",1.16494865931071,7.45933368680488,183.620115363681,6.04155632249677e-15,1.82341721758356e-12,"SL1344_0983","sodCa"
"nuoM",-1.61530551559726,7.79724575280718,235.858434758689,7.17854962015275e-15,1.92584533976209e-12,"SL1344_2286","nuoM"
"SL1344_4015",1.95712994229255,4.95807505184674,181.947769106137,6.86119023338059e-15,1.92584533976209e-12,"SL1344_4015","SL1344_4015"
"pipB2",1.81940571416556,7.35950857003153,249.436251358518,9.58373370436497e-15,2.43578158201992e-12,"SL1344_2763","pipB2"
"kdpF",2.20097198721189,4.97442084795741,171.599855723439,1.54246758062078e-14,3.72428797340887e-12,"SL1344_0688A","kdpF"
"mgtA",1.03155015910455,8.31749543693093,165.668681371894,2.50063280689168e-14,5.75026467832378e-12,"SL1344_4387","mgtA"
"pagN",1.51152533885386,6.7904184141613,175.173855343344,2.82376288135769e-14,6.19815952458013e-12,"SL1344_0302","pagN"
"SL1344_3560",1.26784724493465,6.53323997641879,163.070426383941,3.10434018199185e-14,6.51776466906027e-12,"SL1344_3560","SL1344_3560"
"pmgI",-1.05155781869179,7.24390125042504,161.856563797168,3.43777980118674e-14,6.91709944163782e-12,"SL1344_3670","pmgI"
"acpP",-1.57595872133919,11.5917589238874,217.653148777763,4.66998940140927e-14,9.02055152776214e-12,"SL1344_1133","acpP"
"cdh-a",1.06518296413646,8.93895516338044,155.696467319383,5.82796506444453e-14,1.08243243446933e-11,"SL1344_4013","cdh-a"
"nuoJ",-1.77772144364087,7.06958001931422,211.179462280361,8.71134559437211e-14,1.55804029167492e-11,"SL1344_2289","nuoJ"
"SL1344_2272",1.41619711094994,5.61038823146784,147.940940310202,1.16175314616095e-13,2.00360926528972e-11,"SL1344_2272","SL1344_2272"
"lpxO",1.28187527250065,6.81540624871072,150.149442102985,1.41437661771461e-13,2.35518092653237e-11,"SL1344_4223","lpxO"
"orgB",1.01723420714942,8.78395595042717,145.166293919526,1.49781562140078e-13,2.41098387858146e-11,"SL1344_2849","orgB"
"nuoI",-1.95560041500184,7.31838818512541,242.409771670611,1.66757438444029e-13,2.59765054918134e-11,"SL1344_2290","nuoI"
"nuoF",-2.39916333268904,8.48242624043087,346.291567959135,2.22611714984368e-13,3.35934991143597e-11,"SL1344_2293","nuoF"
"yicL",1.20934342355192,6.30628130880551,140.476688127055,2.32255004214633e-13,3.39866489500746e-11,"SL1344_3730","yicL"
"SL1344_0082",1.35311722413179,5.65415859416134,139.814689831599,2.47329447814778e-13,3.51280559852224e-11,"SL1344_0082","SL1344_0082"
"mig-14",1.89379187010704,9.40092340874212,275.059897044738,2.6750921001763e-13,3.66174108918849e-11,"SL1344_2765","mig-14"
"mdoB",1.04103902444729,9.2715461191967,143.026830385984,2.72981319550188e-13,3.66174108918849e-11,"SL1344_4472","mdoB"
"asnA",-0.9084145638076,7.44644800171439,130.88997672691,5.91766865416072e-13,7.723357278633e-11,"SL1344_3844","asnA"
"rna",0.904899624069601,7.71208826611951,124.20669447966,1.17433576431599e-12,1.49233352786366e-10,"SL1344_0605","rna"
"SL1344_4014",1.65997018987983,4.94187312912063,123.545554565777,1.25872038101158e-12,1.55855403074486e-10,"SL1344_4014","SL1344_4014"
"udg",1.05977717348664,7.15679586995023,122.852551174785,1.35412030423325e-12,1.63476173728559e-10,"SL1344_2057","udg"
"SL1344_4016",0.961386512231414,6.89954895168094,119.383199607637,1.9618835726771e-12,2.31071604206285e-10,"SL1344_4016","SL1344_4016"
"phoQ",0.875801680554785,8.52216177000647,117.714913385746,2.35193919389088e-12,2.70417008745216e-10,"SL1344_1168","phoQ"
"SL1344_P1_0061",1.15320785049868,9.73230623610275,141.602020715022,2.85975023943989e-12,3.21156602471052e-10,"SL1344_P1_0061","SL1344_P1_0061"
"moeB",-1.34103712250177,5.41027479569006,115.450419160583,3.01819606109123e-12,3.31247017704762e-10,"SL1344_0821","moeB"
"nuoK",-1.63489200225848,5.65834210899058,120.601103214752,3.18997557182622e-12,3.42319823029974e-10,"SL1344_2288","nuoK"
"rpl32",-0.779842092548603,10.4090812130672,113.659042885965,3.68663036090488e-12,3.87016043756732e-10,"SL1344_1128","rpl32"
"ruvC",-0.905605015583377,6.94615930847605,105.933531728638,8.99631465437671e-12,9.24323477999684e-10,"SL1344_1833","ruvC"
"rlgA2",0.975495619018773,7.93644803553163,112.150450761279,9.37265120890137e-12,9.42927764328849e-10,"SL1344_P1_0063","rlgA2"
"yaiB",1.36756137814588,8.08924003548228,152.66947674879,1.00190777194989e-11,9.87390332805309e-10,"SL1344_0378","yaiB"
"yeiU",0.802632813395258,8.36422502853658,101.982913259513,1.4478278102786e-11,1.37089421486968e-09,"SL1344_2190","yeiU"
"pmrF",0.959046705388238,7.28845252715671,102.0689186747,1.43269278730404e-11,1.37089421486968e-09,"SL1344_2267","pmrF"
"nuoA",-1.98586314845536,7.57795510169177,213.662945955009,1.63387484117732e-11,1.51730415539333e-09,"SL1344_2297","nuoA"
"ybdQ",0.942199080007762,6.82490175272418,98.6744680329662,2.18049795549751e-11,1.98672162775424e-09,"SL1344_0602","ybdQ"
"nixA",1.41083885035741,4.84311229739554,95.1824093764804,3.39824136433536e-11,3.03890880525472e-09,"SL1344_2767","nixA"
"phoN",1.66573471729588,8.41068445551628,186.693588981066,3.6587033590479e-11,3.21234154924405e-09,"SL1344_4255","phoN"
"nuoG",-2.03887838152075,9.52799232762174,232.45804913355,4.19883601523169e-11,3.62074627099176e-09,"SL1344_2292","nuoG"
"arnT",0.872800509177961,6.4077141598614,93.0036961978954,4.51024675438141e-11,3.82104939945751e-09,"SL1344_2270","arnT"
"yoaE",1.00172743074221,5.40518320273615,91.3315583325031,5.62385828190672e-11,4.68234683505647e-09,"SL1344_1757","yoaE"
"kdpA",2.09997643512615,8.27987671014168,221.734455443064,1.04849936797883e-10,8.43867241328294e-09,"SL1344_0688","kdpA"
"ybjG",1.0962316321839,5.57654973675837,86.7892385370258,1.04023792232373e-10,8.43867241328294e-09,"SL1344_0841","ybjG"
"pmrD",1.3085457656603,6.75044452787612,114.354296618147,1.29839151301093e-10,1.0278578059557e-08,"SL1344_2273","pmrD"
"fadL",-0.670251850453314,8.37558331154956,85.0532532548607,1.32417071544e-10,1.03135812659028e-08,"SL1344_2360","fadL"
