"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"nhaA",-1.27289579660332,7.96164906317101,254.060867162119,5.97040233386097e-17,1.44155364351073e-13,"SL1344_0040","nhaA"
"virK",2.6737320350502,10.4303749066309,525.619764054231,5.73686041423865e-17,1.44155364351073e-13,"SL1344_2764","virK"
"mgtB",1.87562718001401,7.12099518868587,283.04183817847,1.38983562925948e-16,2.23717208456468e-13,"SL1344_3728","mgtB"
"htrA",-1.32500387605022,8.34065046509416,227.921522884878,2.85464363142156e-16,3.44626852403368e-13,"SL1344_0210","htrA"
"parC",-1.08082395392425,8.75277930039414,217.394665891794,5.60769629089403e-16,5.41591307774546e-13,"SL1344_3148","parC"
"AmgR",1.87235438478106,5.86220602757339,214.501881423135,6.78484609859369e-16,5.46067030168482e-13,"AmgR","AmgR"
"pipB2",1.81790210420603,7.35950857003153,240.470297769861,1.4693538190697e-14,1.01364422746966e-11,"SL1344_2763","pipB2"
"cdh-a",1.07161766820335,8.93895516338044,157.398352731255,5.02848698618809e-14,3.03532045703778e-11,"SL1344_4013","cdh-a"
"pagN",1.45895978132743,6.7904184141613,157.021263506901,1.18385957463164e-13,6.35206431766241e-11,"SL1344_0302","pagN"
"mig-14",1.96369375978528,9.40092340874212,287.345793835218,1.76418773346851e-13,8.51926256491943e-11,"SL1344_2765","mig-14"
"sodCa",1.00462244539328,7.45933368680488,136.533415211652,3.39019402686942e-13,1.48829517779567e-10,"SL1344_0983","sodCa"
"nhaR",-1.06867927447486,7.19878254187754,128.956878979491,7.19384242098285e-13,2.89492208757718e-10,"SL1344_0041","nhaR"
"orgB",0.95074772645369,8.78395595042717,125.654467560717,1.00981858552896e-12,3.75108765347643e-10,"SL1344_2849","orgB"
"udg",1.07254473142414,7.15679586995023,122.43324165472,1.415546120244e-12,4.8826230104702e-10,"SL1344_2057","udg"
"SL1344_3560",1.08361699605518,6.53323997641879,115.345147089544,3.05368141192218e-12,9.83081835878147e-10,"SL1344_3560","SL1344_3560"
"mgtA",0.828561276928727,8.31749543693093,107.612595337207,7.3796100058461e-12,2.22725854488942e-09,"SL1344_4387","mgtA"
"aroQ",1.49041318080866,5.51569056111863,98.2265406759248,3.66849920629276e-11,1.0420695686581e-08,"SL1344_1204","aroQ"
"mdoB",0.856217465738385,9.2715461191967,96.2014187456021,3.99374288424461e-11,1.07143246600096e-08,"SL1344_4472","mdoB"
"SL1344_P1_0061",0.994880736425469,9.73230623610275,105.56039764236,7.60738987290306e-11,1.93347819453942e-08,"SL1344_P1_0061","SL1344_P1_0061"
"yaiB",1.19537353395627,8.08924003548228,119.468834417439,1.16829423307273e-10,2.69052119010892e-08,"SL1344_0378","yaiB"
"orgC",0.99225625405371,7.13534821880016,91.1958001550334,1.1700340648641e-10,2.69052119010892e-08,"SL1344_2848","orgC"
"phoN",1.50332947520042,8.41068445551628,147.558636261864,2.6570438789613e-10,5.83221131432006e-08,"SL1344_4255","phoN"
"yfbE",0.915273974720743,7.84850582892942,85.8314466198778,4.86059917590677e-10,1.02051449654147e-07,"SL1344_2266","yfbE"
"pmrF",0.802644217771975,7.28845252715671,72.847856005642,8.06157425033981e-10,1.62205591895379e-07,"SL1344_2267","pmrF"
"lpxO",0.914523891616553,6.81540624871072,73.7793099775793,8.67636355263058e-10,1.67592638382612e-07,"SL1344_4223","lpxO"
"speA",-0.568599040710049,10.0137601254268,68.5867548222544,1.59309837335829e-09,2.95887386344122e-07,"SL1344_3062","speA"
"rlgA",0.605886358569775,8.27571307522552,68.3203204726318,1.66402153768041e-09,2.97613333535507e-07,"SL1344_P1_0062","rlgA"
"SL1344_1602",1.12641478406243,7.71726191490843,94.6330514839187,1.78925559528206e-09,3.08582688200609e-07,"SL1344_1602","SL1344_1602"
"rna",0.665385560931463,7.71208826611951,65.8628391237355,2.50077678309988e-09,4.16422451227219e-07,"SL1344_0605","rna"
"SL1344_4014",1.24368369224157,4.94187312912063,63.5373324798153,3.71268166556141e-09,5.64804090044131e-07,"SL1344_4014","SL1344_4014"
"basS",0.838128663747473,7.86231584597413,71.6906804333202,3.74274816347322e-09,5.64804090044131e-07,"SL1344_4228","basS"
"basR",0.75631118686387,7.61604915905486,65.0073866523629,3.53941439519435e-09,5.64804090044131e-07,"SL1344_4229","basR"
"SL1344_4015",1.15400013197861,4.95807505184674,62.7758850772655,4.23449476017963e-09,6.19647733239619e-07,"SL1344_4015","SL1344_4015"
"yeiU",0.625040179064656,8.36422502853658,61.2530769518775,5.52628589598736e-09,7.84895135050675e-07,"SL1344_2190","yeiU"
"SL1344_2272",0.944616713507843,5.61038823146784,59.8938059004083,7.03523256193462e-09,9.4369827893284e-07,"SL1344_2272","SL1344_2272"
"pmrD",1.09461241074588,6.75044452787612,75.6349241251596,6.9472340283713e-09,9.4369827893284e-07,"SL1344_2273","pmrD"
"phoP",0.550229695271533,9.24460019979337,58.3636815251494,9.27265369216714e-09,1.21020661295879e-06,"SL1344_1169","phoP"
"pagC",1.26362022723796,6.60498626389918,77.3333777368663,2.0584234665507e-08,2.60150196246168e-06,"SL1344_1184","pagC"
"yicL",0.75881253604464,6.30628130880551,53.9816668950378,2.10102664187213e-08,2.60150196246168e-06,"SL1344_3730","yicL"
"aroA",-0.548507499056219,7.77411774466227,53.1917413848609,2.44581629627639e-08,2.88069436456554e-06,"SL1344_0915","aroA"
"ais",0.912996253890756,5.74929488867026,53.2137511673249,2.43543561721558e-08,2.88069436456554e-06,"SL1344_2265","ais"
"rep",-0.519851649801638,8.12979027179767,51.4297756715935,3.45063056929663e-08,3.96740357598415e-06,"SL1344_3872","rep"
"pagP",1.04673700252416,8.57579588235942,79.1995086982664,3.62628455259938e-08,4.072401884768e-06,"SL1344_0616","pagP"
"steA",1.19652525408209,8.06576335567588,84.9265777396945,4.08827523016367e-08,4.48688206510463e-06,"SL1344_1514","steA"
"SL1344_1189",0.78494871454008,5.5499578773263,49.5211502251291,5.05234842882485e-08,5.42173123617671e-06,"SL1344_1189","SL1344_1189"
"yfbG",0.801981538115571,8.22925212187122,59.237689990719,6.37806817400238e-08,6.69558504614293e-06,"SL1344_2268","yfbG"
"tyrS",-0.472853956272615,9.62545281921235,47.1318574505204,8.25021376643514e-08,8.47665580385432e-06,"SL1344_1381","tyrS"
"yqiC",-0.676249926970169,6.06149042386585,46.9305819403168,8.60410047005367e-08,8.53278878875002e-06,"SL1344_3169","yqiC"
"SL1344_4016",0.608437151445583,6.89954895168094,46.9005640949088,8.65824499169085e-08,8.53278878875002e-06,"SL1344_4016","SL1344_4016"
"arnT",0.639693640375473,6.4077141598614,46.7414852398438,8.95128693335131e-08,8.6451529202307e-06,"SL1344_2270","arnT"
"yihX",0.575855943139407,7.53742968795781,46.3036180942025,9.8136301977696e-08,9.29216082843714e-06,"SL1344_3972","yihX"
"SL1344_1795",1.31780938922839,4.42770092009274,43.9495285248376,1.62397765538725e-07,1.50811309574328e-05,"SL1344_1795","SL1344_1795"
"pdgL",0.908740712693111,5.73574868825349,42.37700874149,3.14554881628351e-07,2.81293615441353e-05,"SL1344_1530","pdgL"
"SL1344_1872",0.753252721807354,6.72830053766644,44.6121629462308,3.13728034632339e-07,2.81293615441353e-05,"SL1344_1872","SL1344_1872"
"yrbC",-0.477771601476586,7.80922334624981,40.2947129865973,3.66759292249352e-07,3.22014658594931e-05,"SL1344_3282","yrbC"
"chaA",0.574213426173179,7.32418147429609,38.5750853484263,5.46094246365377e-07,4.70908770660429e-05,"SL1344_1699","chaA"
"pagK",1.48160841262074,5.25606309706799,51.4960190001702,6.12256263290558e-07,5.1869920972458e-05,"SL1344_1799","pagK"
"yjdB",0.864520204576449,8.72685915318741,53.3486566109382,7.32183551273002e-07,6.09605925706436e-05,"SL1344_4230","yjdB"
"pagO",1.26556378274665,4.92098797253762,38.9492154017434,7.97170328215966e-07,6.52463646602525e-05,"SL1344_1793","pagO"
"ompF",-0.675274123167855,7.93604357747456,42.9330432085552,8.88419312686695e-07,7.15029476827342e-05,"SL1344_0936","ompF"
"SL1344_0835",0.677971132238059,5.41238077619447,36.3973891064163,9.17390797073373e-07,7.26242649027429e-05,"SL1344_0835","SL1344_0835"
"ilvC",0.590295439560934,7.09246933663278,35.5343644957873,1.13767847643533e-06,8.86104735920355e-05,"SL1344_3869","ilvC"
"rlgA2",0.560532097811454,7.93644803553163,36.4145971814076,1.17184153811696e-06,8.9822583929632e-05,"SL1344_P1_0063","rlgA2"
"SL1344_1873",0.628572266686763,6.41193840806756,35.2673182579539,1.20893947039326e-06,9.12182609770167e-05,"SL1344_1873","SL1344_1873"
"asnA",-0.465918843981858,7.44644800171439,34.6281767385174,1.41617308937039e-06,0.000105210766901071,"SL1344_3844","asnA"
"SL1344_0082",0.697764665007116,5.65415859416134,34.3010226151302,1.53657080532235e-06,0.000112251927503039,"SL1344_0082","SL1344_0082"
"SL1344_4388",0.523021284807611,6.82096690999835,34.2470936613316,1.55744028633333e-06,0.000112251927503039,"SL1344_4388","SL1344_4388"
"murB",-0.500225174626983,6.68106060905193,34.0151765811353,1.65068190028843e-06,0.000117222689654306,"SL1344_4081","murB"
"ycaM",0.719206141305906,5.39137203537037,32.4191120234486,2.4773688510773e-06,0.000173379915679018,"SL1344_0906","ycaM"
"yfcG",0.782731047308781,4.9356241239099,32.1696599418582,2.64216303470776e-06,0.000182271504208625,"SL1344_2318","yfcG"
