"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"pagN",3.11700296473518,6.7904184141613,757.872297185811,2.60239768072313e-23,1.2566978400212e-19,"SL1344_0302","pagN"
"fabF",-1.90634842526977,10.5285411406071,595.82192607421,1.60453204397505e-22,3.1687145255543e-19,"SL1344_1134","fabF"
"udg",2.30832845894343,7.15679586995023,588.001350072276,1.96855323600392e-22,3.1687145255543e-19,"SL1344_2057","udg"
"pmgI",-1.95167863673405,7.24390125042504,520.96118537988,1.27305616490444e-21,1.53689705508089e-18,"SL1344_3670","pmgI"
"yicC",-1.84886333471049,7.97024156891968,510.59763131979,1.7333676221262e-21,1.67408644944949e-18,"SL1344_3701","yicC"
"kdpF",3.34343072593117,4.97442084795741,447.24271196344,1.31402121525057e-20,1.05756807474083e-17,"SL1344_0688A","kdpF"
"SL1344_1795",3.53646728026188,4.42770092009274,423.818482078273,2.97640325599858e-20,1.59700570257968e-17,"SL1344_1795","SL1344_1795"
"pipB2",3.11470445926396,7.35950857003153,715.350323668506,2.7502243372855e-20,1.59700570257968e-17,"SL1344_2763","pipB2"
"mgtB",2.53635210645432,7.12099518868587,528.746355683852,2.79875065153937e-20,1.59700570257968e-17,"SL1344_3728","mgtB"
"AmgR",2.49021963592881,5.86220602757339,405.177123254626,5.88279970244814e-20,2.84080397631221e-17,"AmgR","AmgR"
"htrA",1.66330843467488,8.34065046509416,402.602697625293,6.477944633242e-20,2.84381769399324e-17,"SL1344_0210","htrA"
"sodCa",1.68196671392584,7.45933368680488,390.168551807923,1.04025943754078e-19,4.18617735323702e-17,"SL1344_0983","sodCa"
"ybiJ",2.07708526507075,6.10423403859524,384.595740206769,1.29214680270167e-19,4.79982839249722e-17,"SL1344_0799","ybiJ"
"SL1344_3560",1.85789936332955,6.53323997641879,356.742790958239,3.99689644856834e-19,1.35042590909587e-16,"SL1344_3560","SL1344_3560"
"cdh-a",1.61846561656499,8.93895516338044,355.593629922881,4.19473775863286e-19,1.35042590909587e-16,"SL1344_4013","cdh-a"
"lpxO",1.9795492025788,6.81540624871072,363.462657941368,5.99474669935097e-19,1.80928948819786e-16,"SL1344_4223","lpxO"
"kdpD",1.83991226945928,7.51969284946895,372.054868610854,6.6057447677363e-19,1.87642008725874e-16,"SL1344_0685","kdpD"
"virK",3.2507431374214,10.4303749066309,746.03997166568,1.32867350727196e-18,3.56453575923127e-16,"SL1344_2764","virK"
"proV",1.6726704300563,6.97685149272213,323.162430791919,1.74602718487572e-18,4.43766593461307e-16,"SL1344_2794","proV"
"SL1344_0082",1.96436935610454,5.65415859416134,310.420169679392,3.16984565048735e-18,7.6535923231017e-16,"SL1344_0082","SL1344_0082"
"yicL",1.72258384955099,6.30628130880551,300.63517417681,5.08812039532213e-18,1.17002539947669e-15,"SL1344_3730","yicL"
"suhB",-1.37954253947374,9.10832718274119,297.638230938767,5.89815888686961e-18,1.29464587566788e-15,"SL1344_2508","suhB"
"yaiB",2.62895595194668,8.08924003548228,565.93046088214,7.16865967441804e-18,1.50510685077238e-15,"SL1344_0378","yaiB"
"pagO",3.33628722993697,4.92098797253762,350.805738716197,7.98416401838779e-18,1.60648033519978e-15,"SL1344_1793","pagO"
"metK",-1.35738373152649,10.1659197790354,283.819388492732,1.18663540377879e-17,2.2921049459391e-15,"SL1344_3065","metK"
