"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"virK",2.50004514684602,10.4303749066309,464.987983486383,2.11887150692223e-16,1.02320305069274e-12,"SL1344_2764","virK"
"mgtB",1.65064807210109,7.12099518868587,218.876830959779,4.06868407618174e-15,9.82383770194081e-12,"SL1344_3728","mgtB"
"AmgR",1.64870170139251,5.86220602757339,164.756936932018,2.6969009290669e-14,4.34111152882136e-11,"AmgR","AmgR"
"sodCa",1.0500540186626,7.45933368680488,150.272313655662,9.41262655733208e-14,1.10778574527459e-10,"SL1344_0983","sodCa"
"mig-14",1.98873234550019,9.40092340874212,294.913657733959,1.37641633291521e-13,1.10778574527459e-10,"SL1344_2765","mig-14"
"cdh-a",1.03179546815111,8.93895516338044,146.352653235403,1.342973111552e-13,1.10778574527459e-10,"SL1344_4013","cdh-a"
"pipB2",1.62655776859633,7.35950857003153,192.320730637874,1.92996205604475e-13,1.33139810980573e-10,"SL1344_2763","pipB2"
"pagN",1.41535429993442,6.7904184141613,148.808777337765,2.37185035843498e-13,1.43170817261032e-10,"SL1344_0302","pagN"
"udg",1.0433668728988,7.15679586995023,116.723495051763,2.62208057345861e-12,1.40689189880352e-09,"SL1344_2057","udg"
"orgB",0.905407483468565,8.78395595042717,114.303306318203,3.42972663772265e-12,1.65621499335627e-09,"SL1344_2849","orgB"
"phoP",0.74519128010671,9.24460019979337,107.163013113061,7.77976362393881e-12,3.41531623090914e-09,"SL1344_1169","phoP"
"pmrF",0.938558956452028,7.28845252715671,100.874100279582,1.65890408682811e-11,6.16219064253305e-09,"SL1344_2267","pmrF"
"SL1344_3560",1.01236642785711,6.53323997641879,101.215788787483,1.59057832616316e-11,6.16219064253305e-09,"SL1344_3560","SL1344_3560"
"mdoB",0.834120470189903,9.2715461191967,91.5551389487653,7.22256865581287e-11,2.49127028849431e-08,"SL1344_4472","mdoB"
"lpxO",0.974103509248741,6.81540624871072,84.7982571459766,1.7600362574025e-10,5.13083285163961e-08,"SL1344_4223","lpxO"
"mgtA",0.729372991598873,8.31749543693093,83.6446715116858,1.61490743096305e-10,5.13083285163961e-08,"SL1344_4387","mgtA"
