"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"sfcA",-1.63082098814376,7.46864650940164,480.519794630644,4.39482416689615e-21,2.12226059019415e-17,"SL1344_1496","sfcA"
"virK",2.65606584773794,10.4303749066309,519.650000328446,6.48149427593169e-17,1.56495679292371e-13,"SL1344_2764","virK"
"pflA",-1.17871759601575,7.24359100443347,183.975658927007,5.88109063344941e-15,7.0999466672318e-12,"SL1344_0907","pflA"
"mgtB",1.63727872856486,7.12099518868587,216.023030327108,4.82227046083908e-15,7.0999466672318e-12,"SL1344_3728","mgtB"
"pagN",1.55579986036053,6.7904184141613,182.44053221645,1.64809782512086e-14,1.59173287950173e-11,"SL1344_0302","pagN"
"udg",1.20754257362768,7.15679586995023,158.073395267176,4.74439132318129e-14,2.66010845582399e-11,"SL1344_2057","udg"
"pipB2",1.73317713600827,7.35950857003153,220.199798087136,4.08292903964756e-14,2.66010845582399e-11,"SL1344_2763","pipB2"
"cdh-a",1.07050561013306,8.93895516338044,157.562574243311,4.95775028006127e-14,2.66010845582399e-11,"SL1344_4013","cdh-a"
"AmgR",1.62033270926377,5.86220602757339,159.577531571483,4.1708571841064e-14,2.66010845582399e-11,"AmgR","AmgR"
"mig-14",2.05414450723173,9.40092340874212,314.038139990905,7.54238900301315e-14,3.64221964955505e-11,"SL1344_2765","mig-14"
"apt",-0.760427169609592,8.42307775907053,137.094294926889,3.21089905925991e-13,1.4095846870151e-10,"SL1344_0476","apt"
"folD",-0.90510923139104,7.13174445534409,120.821279422503,1.68067904723088e-12,6.76333259923158e-10,"SL1344_0535","folD"
"aroQ",1.59833016090421,5.51569056111863,116.497937202035,4.58640338371158e-12,1.70367245691871e-09,"SL1344_1204","aroQ"
"phoP",0.758125429924136,9.24460019979337,110.99263498696,4.9884153150168e-12,1.72064696830115e-09,"SL1344_1169","phoP"
"SL1344_3560",1.0234897927569,6.53323997641879,104.022339774099,1.13052990916248e-11,3.63955262089709e-09,"SL1344_3560","SL1344_3560"
"orgB",0.857331123835357,8.78395595042717,102.658665191183,1.33332996065178e-11,4.02415648749214e-09,"SL1344_2849","orgB"
"lpxO",1.07127723118024,6.81540624871072,103.618212878583,1.59632631243515e-11,4.53450574279373e-09,"SL1344_4223","lpxO"
"sodCa",0.824632142156506,7.45933368680488,92.3573808793567,4.91007348711699e-11,1.31726360384933e-08,"SL1344_0983","sodCa"
"mdoB",0.842301136048499,9.2715461191967,93.3797584021958,5.70809499497216e-11,1.45075740688003e-08,"SL1344_4472","mdoB"
"yaiB",1.22444815991916,8.08924003548228,126.341947666269,6.72230963470817e-11,1.54581110600027e-08,"SL1344_0378","yaiB"
"mgtA",0.75667473976729,8.31749543693093,90.21189517578,6.53040447814408e-11,1.54581110600027e-08,"SL1344_4387","mgtA"
"phoN",1.57926666305965,8.41068445551628,163.636607114038,1.11746860325892e-10,2.45284358415333e-08,"SL1344_4255","phoN"
"SL1344_1602",1.20153501500689,7.71726191490843,108.828106765019,4.94530114970231e-10,1.03829822834402e-07,"SL1344_1602","SL1344_1602"
"kdpF",1.47208203330708,4.97442084795741,72.394305442499,8.65610988187755e-10,1.74168144248278e-07,"SL1344_0688A","kdpF"
"pmrD",1.2051577807021,6.75044452787612,93.4524875161514,9.43684015750508e-10,1.82282004482368e-07,"SL1344_2273","pmrD"
"yfbE",0.880599977913991,7.84850582892942,80.0053298104992,1.02485101297526e-09,1.90346366986827e-07,"SL1344_2266","yfbE"
"rna",0.680338580528841,7.71208826611951,69.4368825021128,1.38746699374088e-09,2.48151041213877e-07,"SL1344_0605","rna"
"SL1344_P1_0061",0.861122732372137,9.73230623610275,79.4878341606651,1.51969044996983e-09,2.62092327960868e-07,"SL1344_P1_0061","SL1344_P1_0061"
"SL1344_1795",1.57786577426862,4.42770092009274,68.119212836391,1.71977231300484e-09,2.72403600733941e-07,"SL1344_1795","SL1344_1795"
"pmrF",0.771710741794814,7.28845252715671,68.0175449052526,1.74870814304249e-09,2.72403600733941e-07,"SL1344_2267","pmrF"
"orgC",0.876426905635036,7.13534821880016,71.6141786002914,1.73655971257786e-09,2.72403600733941e-07,"SL1344_2848","orgC"
"yicL",0.834276807854265,6.30628130880551,66.8842845155891,2.10862573979177e-09,3.18204803045452e-07,"SL1344_3730","yicL"
"yeiU",0.639950305207358,8.36422502853658,64.5270516671479,3.13428338566809e-09,4.58650135436097e-07,"SL1344_2190","yeiU"
"SL1344_4016",0.692480860534891,6.89954895168094,61.8084768724717,5.01232739002439e-09,7.11897910777288e-07,"SL1344_4016","SL1344_4016"
"pagC",1.35320691185672,6.60498626389918,90.6730610248609,5.44951607869199e-09,7.51877518400103e-07,"SL1344_1184","pagC"
"steA",1.35450280522158,8.06576335567588,109.694755285277,6.08052652468305e-09,8.15635071880401e-07,"SL1344_1514","steA"
"yjbA",1.40965868829408,4.57652468454864,58.9960797334095,8.26781206713755e-09,1.07906120195155e-06,"SL1344_4162","yjbA"
"gst",0.755274786743801,7.23949608480193,57.1824247864534,2.07285529406407e-08,2.6341626881672e-06,"SL1344_1383","gst"
"SL1344_1189",0.806628288872677,5.5499578773263,53.5711001081211,2.27328467536803e-08,2.81479274291083e-06,"SL1344_1189","SL1344_1189"
"arnT",0.668100382049236,6.4077141598614,51.9645040452306,3.10597298799727e-08,3.7496858897597e-06,"SL1344_2270","arnT"
"phnO",1.36358011898443,4.98198798837352,57.3055380570953,3.32826257026029e-08,3.92004389067974e-06,"SL1344_4224","phnO"
"pagO",1.45510703488919,4.92098797253762,54.8068491693773,3.5350147313464e-08,4.06442527087424e-06,"SL1344_1793","pagO"
"SL1344_0082",0.828179866525093,5.65415859416134,50.2757681033374,4.34063500614024e-08,4.87463405689564e-06,"SL1344_0082","SL1344_0082"
"pdgL",0.985328137624835,5.73574868825349,51.3003660397364,5.22672459524377e-08,5.73633024328004e-06,"SL1344_1530","pdgL"
"yihX",0.587114306954486,7.53742968795781,48.61419721204,6.07539745007315e-08,6.51957650808961e-06,"SL1344_3972","yihX"
"rlgA",0.509001688472097,8.27571307522552,48.4376444441565,6.29898876258207e-08,6.612568855328e-06,"SL1344_P1_0062","rlgA"
"ais",0.862246141137797,5.74929488867026,48.0780129185974,6.78191779692089e-08,6.96805979602787e-06,"SL1344_2265","ais"
"SL1344_1768",0.666999981451642,7.18985433365695,47.1807775772622,9.44157022740958e-08,9.49861304753351e-06,"SL1344_1768","SL1344_1768"
"ydiR",1.01782634145052,4.88056474426724,46.2725502569673,9.87807954197506e-08,9.73494818534644e-06,"SL1344_1287","ydiR"
"basR",0.637196871780457,7.61604915905486,46.3976714728187,1.10937153471389e-07,1.07143102822668e-05,"SL1344_4229","basR"
"SL1344_4014",1.05013748966876,4.94187312912063,45.2398637983778,1.22978990873571e-07,1.16444224887936e-05,"SL1344_4014","SL1344_4014"
"phoQ",0.540547209163012,8.52216177000647,44.507106242684,1.43928238322667e-07,1.31137634501917e-05,"SL1344_1168","phoQ"
"yfbG",0.762485486168323,8.22925212187122,53.8765068537238,1.43286128172168e-07,1.31137634501917e-05,"SL1344_2268","yfbG"
"SL1344_2272",0.808944927577332,5.61038823146784,44.2329936638551,1.52712336403856e-07,1.36564420832263e-05,"SL1344_2272","SL1344_2272"
"purR",-0.449855787321262,7.64517827521397,43.3471718649331,1.85212664453627e-07,1.62616719390285e-05,"SL1344_1362","purR"
"SL1344_0835",0.711295139233696,5.41238077619447,41.1875868765694,2.99417624485594e-07,2.58194233685881e-05,"SL1344_0835","SL1344_0835"
"proB",-0.450420900939399,7.99735862003246,40.0892243681704,3.84428994745367e-07,3.25685546600944e-05,"SL1344_0317","proB"
"SL1344_4015",0.921566736313862,4.95807505184674,39.8036340840339,4.10503426118108e-07,3.41779490469714e-05,"SL1344_4015","SL1344_4015"
"yfcG",0.841522616119238,4.9356241239099,38.4251834115886,5.6564458929624e-07,4.6296571554433e-05,"SL1344_2318","yfcG"
"fadL",-0.447404234761452,8.37558331154956,38.0564014033779,6.1697611262817e-07,4.96562941313572e-05,"SL1344_2360","fadL"
"pagP",0.856807301847355,8.57579588235942,53.3185140222177,6.73852569003297e-07,5.33448205855233e-05,"SL1344_0616","pagP"
"yjeH",0.672202986926801,6.37974144970964,37.09287470151,7.88754752078435e-07,6.14338177062381e-05,"SL1344_4265","yjeH"
"slyB",0.692010632644712,9.67351946806203,44.0209156737355,9.32514932752768e-07,7.14780096867161e-05,"SL1344_1377","slyB"
"pagK",1.4116854144308,5.25606309706799,47.4509804684989,1.10584365892475e-06,8.21556773684249e-05,"SL1344_1799","pagK"
"ilvC",0.587734223479966,7.09246933663278,35.6889938569122,1.09540921357608e-06,8.21556773684249e-05,"SL1344_3869","ilvC"
"mnmC",-0.463888735696475,6.96145883716365,34.2674474847229,1.54952857277693e-06,0.000113373840574846,"SL1344_2348","mnmC"
"SL1344_0213",0.596047406099121,5.96905653049813,34.196184454461,1.57741771178929e-06,0.000113691792988515,"SL1344_0213","SL1344_0213"
"ompF",-0.644416811605794,7.93604357747456,39.4838000069535,1.69978074398538e-06,0.000120709429598609,"SL1344_0936","ompF"
"yeiG",0.571839964021128,7.26185393062751,34.2370614010965,1.86851448364034e-06,0.000130768933934771,"SL1344_2171","yeiG"
"ydcW",0.618304205801783,5.98398593968582,33.428660995223,1.9139868033703e-06,0.000132037746763931,"SL1344_1528","ydcW"
"SL1344_1873",0.603654501262193,6.41193840806756,33.0332798868163,2.11644625693877e-06,0.000143948154574047,"SL1344_1873","SL1344_1873"
