"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"rimO",-2.66220287299397,8.80815430461844,1103.65034446813,1.01688349008552e-26,4.91053037362296e-23,"SL1344_0828","rimO"
"rpiA",-2.72685288733289,7.69386655191814,965.315805670308,8.45662624442967e-26,2.04185240671754e-22,"SL1344_3039","rpiA"
"lipA",-2.33155388049758,8.40329180361054,873.560262067348,4.08087686529311e-25,6.56885146083347e-22,"SL1344_0621","lipA"
"cfa",-2.26174780622663,7.43071301490738,645.793211367492,4.60069043346128e-23,5.55418352579613e-20,"SL1344_1359","cfa"
"kup",-1.98836793312929,6.94078627470802,529.370895769502,9.95200916607852e-22,9.61165045259864e-19,"SL1344_3847","kup"
"yjgD",-2.02540929027412,7.86240291722989,468.586361410192,6.70855218005072e-21,5.39926641291082e-18,"SL1344_4400","yjgD"
"pmgI",-1.85673293506441,7.24390125042504,462.359671233474,7.91684468351951e-21,5.46149185381653e-18,"SL1344_3670","pmgI"
"accA",-1.49230283474622,9.12212687571955,455.958115530442,9.79270788587791e-21,5.91112329761305e-18,"SL1344_0233","accA"
"udg",1.96028322679504,7.15679586995023,426.812437289597,2.67485928307657e-20,1.43521060866408e-17,"SL1344_2057","udg"
"hisJ",-1.73577194120924,6.748408831084,349.828321595802,5.35697524068532e-19,2.58688334372694e-16,"SL1344_2323","hisJ"
"kdpF",2.97095918221754,4.97442084795741,332.604959045453,1.13779790585488e-18,4.57868840614435e-16,"SL1344_0688A","kdpF"
"pmrF",1.72493899035939,7.28845252715671,333.675603123871,1.08463161368843e-18,4.57868840614435e-16,"SL1344_2267","pmrF"
"kdpD",1.80542424808114,7.51969284946895,350.510031461644,1.56018717230273e-18,5.7954952731153e-16,"SL1344_0685","kdpD"
"pagN",2.08790816444206,6.7904184141613,341.269802253534,2.93309734471183e-18,1.01170907697239e-15,"SL1344_0302","pagN"
"yciL",-1.32898785535238,8.20106803892591,307.965020779921,3.56489492314721e-18,1.14765850559186e-15,"SL1344_1651","yciL"
"glnH",-1.54707377148228,8.25734848672695,294.600346893418,7.97937269679166e-18,2.40827442205043e-15,"SL1344_0805","glnH"
"nusG",-1.12069103592281,9.45595209241598,270.796112285542,2.35979870498117e-17,6.70321643903181e-15,"SL1344_4087","nusG"
"ydhF",-1.95111995833903,5.49359168644623,250.399473728602,7.36798820878369e-17,1.97666750334536e-14,"SL1344_1371","ydhF"
"yicC",-1.22870799110662,7.97024156891968,236.505570974837,1.67925852854619e-16,4.26796812334187e-14,"SL1344_3701","yicC"
"AmgR",1.91387416565936,5.86220602757339,235.505419822535,1.78477338033142e-16,4.3093353268102e-14,"AmgR","AmgR"
"fadL",-1.1223959302903,8.37558331154956,232.603915780368,2.13268239416168e-16,4.90415394352704e-14,"SL1344_2360","fadL"
"sodCa",1.29720765980692,7.45933368680488,228.266649744188,2.79345000016484e-16,6.13162275036182e-14,"SL1344_0983","sodCa"
"proP",-1.22281244611895,8.24196546299873,223.944275996973,3.67212414916894e-16,7.70986413753774e-14,"SL1344_4227","proP"
"SL1344_P2_0021",-1.02358986593785,7.8155641805943,221.122840420432,4.40086869524661e-16,8.85491455389412e-14,"SL1344_P2_0021","SL1344_P2_0021"
