"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"pagN",2.5608263050033,6.7904184141613,509.470037229208,9.08492189585366e-21,4.38710878350773e-17,"SL1344_0302","pagN"
"mgtB",2.5459418138939,7.12099518868587,529.052594395386,2.77634044561864e-20,6.7034740059462e-17,"SL1344_3728","mgtB"
"AmgR",2.51887100606982,5.86220602757339,409.738914957969,4.96619854724141e-20,7.99392426154292e-17,"AmgR","AmgR"
"udg",1.85116820422693,7.15679586995023,376.131278619753,1.80628368106843e-19,2.18063597396986e-16,"SL1344_2057","udg"
"fabF",-1.45495206500666,10.5285411406071,356.827156753624,3.98276750021808e-19,3.84655685171062e-16,"SL1344_1134","fabF"
"sodCa",1.56572004640912,7.45933368680488,336.003529392864,9.77919435735103e-19,6.74624707880687e-16,"SL1344_0983","sodCa"
"virK",3.31372670032637,10.4303749066309,771.09706418988,9.29499134857616e-19,6.74624707880687e-16,"SL1344_2764","virK"
"cdh-a",1.52110796637526,8.93895516338044,314.208816824173,2.64873698422839e-18,1.59884386210486e-15,"SL1344_4013","cdh-a"
"SL1344_3560",1.73401161420398,6.53323997641879,306.695681535447,3.78934045886864e-18,2.0331916750974e-15,"SL1344_3560","SL1344_3560"
"pipB2",2.48206561452079,7.35950857003153,455.914209908851,7.05098086785613e-18,3.40491866108773e-15,"SL1344_2763","pipB2"
"pmgI",-1.38997779519313,7.24390125042504,276.497510689681,1.74027635820738e-17,7.63981321253039e-15,"SL1344_3670","pmgI"
"yaiB",2.33407563660105,8.08924003548228,450.447891857187,9.18637022558756e-17,3.59600239266852e-14,"SL1344_0378","yaiB"
"SL1344_P2_0021",-1.09105153093937,7.8155641805943,245.717282434309,9.68068567088233e-17,3.59600239266852e-14,"SL1344_P2_0021","SL1344_P2_0021"
"ydcP",-1.34069275467678,7.26772516862717,243.378529802905,1.11141856208786e-16,3.79057868777812e-14,"SL1344_1534","ydcP"
"lpxO",1.65764762635181,6.81540624871072,251.946955342087,1.17744212707956e-16,3.79057868777812e-14,"SL1344_4223","lpxO"
"yicL",1.53830461408811,6.30628130880551,235.515651034832,1.78365906251203e-16,5.38330600804411e-14,"SL1344_3730","yicL"
"acpP",-1.97235661753672,11.5917589238874,331.830357928924,3.2726145993346e-16,8.46868173441017e-14,"SL1344_1133","acpP"
"pmrF",1.39666088589847,7.28845252715671,225.471852955345,3.33205535211831e-16,8.46868173441017e-14,"SL1344_2267","pmrF"
"SL1344_3189",-1.82695614759289,8.5317571897888,318.431687480239,3.18273545389618e-16,8.46868173441017e-14,"SL1344_3189","SL1344_3189"
"aroQ",2.19810781898043,5.51569056111863,229.881114053663,5.98446879675676e-16,1.44494999097692e-13,"SL1344_1204","aroQ"
"kdpF",2.38446629747112,4.97442084795741,210.654528366499,8.77252970638604e-16,2.01726409295896e-13,"SL1344_0688A","kdpF"
"mig-14",2.56485764867699,9.40092340874212,477.030490460759,1.31011600234879e-15,2.87570462515559e-13,"SL1344_2765","mig-14"
"orgB",1.20865675364165,8.78395595042717,202.849225911013,1.49643183061576e-15,3.14185622175805e-13,"SL1344_2849","orgB"
"phoP",1.01429725764851,9.24460019979337,197.604115825871,2.164200529022e-15,4.35455181443634e-13,"SL1344_1169","phoP"
"yihX",1.1540037132676,7.53742968795781,189.121686747312,4.00290345322318e-15,7.73200831024589e-13,"SL1344_3972","yihX"
"yfbE",1.47646202220653,7.84850582892942,224.964045713696,6.04846331558355e-15,1.12338574426742e-12,"SL1344_2266","yfbE"
"fdhE",-1.07101009593781,7.86704789137021,182.869497338055,6.39579050765206e-15,1.14389897635007e-12,"SL1344_3981","fdhE"
"SL1344_0082",1.49670221095197,5.65415859416134,173.041647454532,1.37446933945436e-14,2.35223856379829e-12,"SL1344_0082","SL1344_0082"
"ilvC",1.28006283859119,7.09246933663278,172.970245257027,1.41260961586561e-14,2.35223856379829e-12,"SL1344_3869","ilvC"
"SL1344_2272",1.5113705566669,5.61038823146784,163.219665080465,3.06577915305514e-14,4.77569275164621e-12,"SL1344_2272","SL1344_2272"
"SL1344_4016",1.12017892431406,6.89954895168094,163.605918170677,2.96831872849163e-14,4.77569275164621e-12,"SL1344_4016","SL1344_4016"
"mgtA",1.01795589920559,8.31749543693093,162.783304601794,3.17998351052832e-14,4.79879386635665e-12,"SL1344_4387","mgtA"
"ybgF",-0.983011657371595,8.01044911413306,159.92267264357,4.04993431733066e-14,5.75209788776169e-12,"SL1344_0732","ybgF"
"basR",1.19901357836065,7.61604915905486,165.375526979734,4.00193995308959e-14,5.75209788776169e-12,"SL1344_4229","basR"
"htrA",1.03026900305751,8.34065046509416,156.257161316445,5.55061896385073e-14,7.65826827898148e-12,"SL1344_0210","htrA"
"rna",1.01437298892473,7.71208826611951,154.744496044764,6.33308839996742e-14,8.49513441206741e-12,"SL1344_0605","rna"
"pagO",2.4560643954087,4.92098797253762,176.031692197477,6.70285687281083e-14,8.52263818546058e-12,"SL1344_1793","pagO"
"phoN",2.44676425570035,8.41068445551628,383.993663763092,6.70656970485612e-14,8.52263818546058e-12,"SL1344_4255","phoN"
"cfa",-1.00848875235737,7.43071301490738,150.099714267771,9.55954786793513e-14,1.18366811933997e-11,"SL1344_1359","cfa"
"SL1344_4014",1.80796263071708,4.94187312912063,144.091032210794,1.65457924511016e-13,1.99749079365924e-11,"SL1344_4014","SL1344_4014"
"yjbA",2.09410325734988,4.57652468454864,140.94068547317,2.22272409182552e-13,2.61793527790864e-11,"SL1344_4162","yjbA"
"kdpD",1.1591597733466,7.51969284946895,147.352989442295,2.32348486230903e-13,2.67145438097388e-11,"SL1344_0685","kdpD"
"hisJ",-1.03795354453924,6.748408831084,139.89936577089,2.45344672020271e-13,2.75527772368812e-11,"SL1344_2323","hisJ"
"ileS",-0.905017491045506,10.3665530369658,137.087650877895,3.21296302411632e-13,3.52622691896767e-11,"SL1344_0047","ileS"
"rlgA",0.855256112250321,8.27571307522552,136.755390627439,3.3179967672635e-13,3.56057919758121e-11,"SL1344_P1_0062","rlgA"
"SL1344_P1_0061",1.24221351763508,9.73230623610275,163.680248897947,5.3486072308877e-13,5.61487485172972e-11,"SL1344_P1_0061","SL1344_P1_0061"
"mdoB",1.00726989521701,9.2715461191967,133.032067552203,6.99010739951028e-13,7.18196353877344e-11,"SL1344_4472","mdoB"
"pdgL",1.585234671771,5.73574868825349,138.324509283367,7.40012409380647e-13,7.44483317687322e-11,"SL1344_1530","pdgL"
"pmrD",1.68780469991136,6.75044452787612,185.649077497132,8.56682364632141e-13,8.44269212001757e-11,"SL1344_2273","pmrD"
"SL1344_1189",1.21380199899448,5.5499578773263,124.766751940234,1.10754950346321e-12,1.06967131044477e-10,"SL1344_1189","SL1344_1189"
"SL1344_4015",1.576369458121,4.95807505184674,124.100071840792,1.18752790094934e-12,1.12442592817341e-10,"SL1344_4015","SL1344_4015"
"SL1344_1602",1.5951761424721,7.71726191490843,191.91371287581,2.03335191767729e-12,1.88828007893531e-10,"SL1344_1602","SL1344_1602"
"yjeH",1.18266890004039,6.37974144970964,117.756990810398,2.46570675466273e-12,2.24658451288044e-10,"SL1344_4265","yjeH"
"SL1344_1795",2.00808288952148,4.42770092009274,116.444259100828,2.70397597009235e-12,2.41805554806962e-10,"SL1344_1795","SL1344_1795"
"arnT",0.991740337279559,6.4077141598614,116.103133745166,2.80772351734377e-12,2.46518124822783e-10,"SL1344_2270","arnT"
"SL1344_1873",1.0904923027062,6.41193840806756,110.639356942162,5.19454859064183e-12,4.47937056146597e-10,"SL1344_1873","SL1344_1873"
"proX",1.07033114408643,6.41471982204483,109.798825701402,5.72221235987107e-12,4.84781815540656e-10,"SL1344_2796","proX"
"SL1344_P2_0022",-1.06994848759526,5.82575009908795,108.035203687183,7.02334538741671e-12,5.84754049583367e-10,"SL1344_P2_0022","SL1344_P2_0022"
"yfbG",1.2848821643632,8.22925212187122,152.687590366943,7.17994885172347e-12,5.87660559406316e-10,"SL1344_2268","yfbG"
