"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"pagN",2.59145922622728,6.7904184141613,527.202519395074,5.51024306013133e-21,2.66089637373742e-17,"SL1344_0302","pagN"
"udg",1.84891934404944,7.15679586995023,379.630160130789,1.57141052661762e-19,3.79417071651824e-16,"SL1344_2057","udg"
"pipB2",2.65769811394206,7.35950857003153,526.302226669473,1.21766159512153e-18,1.47002196071046e-15,"SL1344_2763","pipB2"
"virK",3.29558856448911,10.4303749066309,764.165765744951,1.0248858026903e-18,1.47002196071046e-15,"SL1344_2764","virK"
"fadL",-1.31521631613493,8.37558331154956,315.033636998322,2.54783372526436e-18,2.46069781186031e-15,"SL1344_2360","fadL"
"mgtB",2.11914481662899,7.12099518868587,370.010164851511,3.78312179381641e-18,3.04478252372324e-15,"SL1344_3728","mgtB"
"kdpF",2.75863932091658,4.97442084795741,297.159452112202,6.03976922157389e-18,4.16657793871147e-15,"SL1344_0688A","kdpF"
"suhB",-1.33132687626198,9.10832718274119,278.755229297207,1.54497331265706e-17,7.46067612682095e-15,"SL1344_2508","suhB"
"cdh-a",1.43048552152371,8.93895516338044,279.934833892277,1.45231174599932e-17,7.46067612682095e-15,"SL1344_4013","cdh-a"
"lpxO",1.78042839946295,6.81540624871072,295.032626030867,1.23768811487585e-17,7.46067612682095e-15,"SL1344_4223","lpxO"
"sodCa",1.40769426315423,7.45933368680488,274.127050900282,1.97381522255882e-17,8.66504882703321e-15,"SL1344_0983","sodCa"
"kdpD",1.6016272780472,7.51969284946895,283.654732452559,3.18119103141517e-17,1.28016429089199e-14,"SL1344_0685","kdpD"
"SL1344_3560",1.58177331207149,6.53323997641879,258.251078132248,4.70860067759724e-17,1.74906405170131e-14,"SL1344_3560","SL1344_3560"
"AmgR",1.92087164620415,5.86220602757339,234.736602845569,1.87065907868277e-16,6.45243763639937e-14,"AmgR","AmgR"
"purR",-1.04884450657202,7.64517827521397,228.978096202129,2.67165530470701e-16,8.60094897762012e-14,"SL1344_1362","purR"
"SL1344_0082",1.65100355881135,5.65415859416134,217.369900871319,5.61679869942152e-16,1.52069035249766e-13,"SL1344_0082","SL1344_0082"
"ompD",-1.2247215670436,10.2704201365961,217.244814248146,5.66301467240146e-16,1.52069035249766e-13,"SL1344_1503","ompD"
"mig-14",2.67516894741549,9.40092340874212,516.744417518176,5.9832505068245e-16,1.52069035249766e-13,"SL1344_2765","mig-14"
"yhbE",-1.25751988027375,7.96302869935106,217.193267343031,5.68217707753084e-16,1.52069035249766e-13,"SL1344_3274","yhbE"
"frsA",-1.1699044923714,6.79644929122668,213.220348027177,7.38776750123949e-16,1.75600676403551e-13,"SL1344_0314","frsA"
"yaiB",2.1065230065831,8.08924003548228,371.085903477854,7.84392457029272e-16,1.75600676403551e-13,"SL1344_0378","yaiB"
"pmrF",1.34668566217825,7.28845252715671,212.027865369058,8.00003081565154e-16,1.75600676403551e-13,"SL1344_2267","pmrF"
"queF",-1.33462457750961,6.65967293302861,206.845054559609,1.13598504150908e-15,2.38507468062928e-13,"SL1344_2948","queF"
"SL1344_1795",2.52492543562715,4.42770092009274,201.999659590511,1.58769297408984e-15,3.19457057161661e-13,"SL1344_1795","SL1344_1795"
"cspA",-1.19047474558582,9.72120536211069,198.430076592952,2.04090130408919e-15,3.94220495897868e-13,"SL1344_3615","cspA"
"yaaH",-1.42391378727385,8.79102401198081,231.239032430027,3.92732931383107e-15,7.29425894480394e-13,"SL1344_0009","yaaH"
"yicL",1.3614218764733,6.30628130880551,186.722396737261,4.78393433116054e-15,8.55615514265713e-13,"SL1344_3730","yicL"
"deaD",-1.09637097895967,9.80111192423578,186.111368905719,5.00766581438816e-15,8.636435077743e-13,"SL1344_3253","deaD"
"ilvC",1.28592794774007,7.09246933663278,177.265417263145,1.00694573535218e-14,1.67673826069507e-12,"SL1344_3869","ilvC"
"yeeF",-0.927987437676026,10.4268413711917,175.984708379265,1.08891685853856e-14,1.75279316996091e-12,"SL1344_2045","yeeF"
"fis",-1.07074223198997,9.52774355716443,173.505399179724,1.32465140777076e-14,2.06346504778225e-12,"SL1344_3358","fis"
"orgB",1.11060861258366,8.78395595042717,172.386202353447,1.44829874088944e-14,2.16353176512155e-12,"SL1344_2849","orgB"
"yihX",1.09483438019683,7.53742968795781,172.128277053113,1.47849551147258e-14,2.16353176512155e-12,"SL1344_3972","yihX"
"htrA",1.07278087441056,8.34065046509416,170.418248590471,1.69638920194816e-14,2.34053241605933e-12,"SL1344_0210","htrA"
"yegQ",-1.01001403039367,8.10894259284517,170.437900661193,1.69369996492371e-14,2.34053241605933e-12,"SL1344_2112","yegQ"
"yjbA",2.2474005275746,4.57652468454864,169.486721899179,1.82920750222957e-14,2.45367861896294e-12,"SL1344_4162","yjbA"
"aroQ",1.92977619550791,5.51569056111863,178.081920802257,1.92015037070837e-14,2.50605571355425e-12,"SL1344_1204","aroQ"
"yhdG",-1.19743092991491,11.118542154206,168.508804198953,3.11202109374491e-14,3.95472364781426e-12,"SL1344_3357","yhdG"
"ychF",-0.861901987981864,8.59276681542266,160.145972421294,3.97368616175022e-14,4.92023858335688e-12,"SL1344_1712","ychF"
"ilvG",1.19036349418575,6.87999509103794,157.698662617106,4.89993193206959e-14,5.91544282499101e-12,"SL1344_3861","ilvG"
"proX",1.26413088464735,6.41471982204483,156.998575520092,5.20520334348943e-14,6.13071388919767e-12,"SL1344_2796","proX"
"ileS",-0.966925461867653,10.3665530369658,156.600387907937,5.38778330510492e-14,6.19466799532183e-12,"SL1344_0047","ileS"
"lpdA",-0.930711235230798,11.0893472366932,155.820089295211,5.76557600995563e-14,6.47487594234319e-12,"SL1344_0154","lpdA"
"ribB",-1.22532079025539,6.39807740153872,154.880070758269,6.25839990321341e-14,6.86859389377671e-12,"SL1344_3168","ribB"
"obgE",-0.955988298202345,8.87225335694621,153.355010693912,7.15546100620839e-14,7.67860471088451e-12,"SL1344_3273","obgE"
"proV",1.1495137772256,6.97685149272213,152.534030376308,7.69402667631089e-14,8.07705539563158e-12,"SL1344_2794","proV"
"leuB",1.14751647829821,5.95895599326614,151.899079559504,8.14001274058825e-14,8.34903404834593e-12,"SL1344_0112","leuB"
