"","logFC","logCPM","F","PValue","FDR","genes"
"apaH",-0.12716954289016,6.77121747656208,1.69208782006786,0.206378139951576,0.267986862535778,"apaH"
"napF",-0.346239725422069,3.02486074048795,1.69262136760973,0.207958740671015,0.269966835379952,"napF"
"cspE",0.167559359378378,11.2482402781702,1.67860225712569,0.208132359643501,0.270119727286186,"cspE"
"SL1344_1551",0.18844257421536,4.09002405591342,1.67667449498788,0.208384642464714,0.270374601824523,"SL1344_1551"
"ppnK",0.139787059753423,5.91434464099531,1.6752526677943,0.208570959038908,0.270543772826816,"ppnK"
"ftsI",-0.134043094395921,8.55867780802275,1.6736871486403,0.208776345608927,0.270723745730049,"ftsI"
"ydjM",0.193278767167316,3.78835593085266,1.67334212403873,0.208821644680341,0.270723745730049,"ydjM"
"yebW",0.288035434851945,2.59167629366933,1.67270654031497,0.208905124050462,0.270759401133999,"yebW"
"yobA",0.154757253227507,6.28089714190615,1.67127180371498,0.209093719658836,0.270931240822339,"yobA"
"gshB",-0.11561539732998,7.71860771906402,1.6684011735119,0.209471701621573,0.271348318356601,"gshB"
"mtr",-0.175914120364702,4.7741026156265,1.65927649966076,0.210678849185875,0.272838980859994,"mtr"
"ccmH1",0.26159785039026,2.63479932199803,1.65865495836462,0.210761391785579,0.272872819075708,"ccmH1"
"CsrC",-0.279578260942649,10.9610529386773,1.71959209714313,0.210919362145103,0.273004269386102,"CsrC"
"hslR",0.129944608794449,7.1464588162068,1.64809475233361,0.212170020640322,0.27454959599712,"hslR"
"SL1344_2271",0.215617966407006,3.98669946909408,1.64201562265439,0.212986261504655,0.275509251983613,"SL1344_2271"
"bglJ",0.183365968051435,4.48984076105608,1.64172372292327,0.213025553528781,0.275509251983613,"bglJ"
"dmsA2",0.188947384687268,4.42386968655374,1.64079253783258,0.213150959126445,0.27559775174943,"dmsA2"
"yohD",0.235054707863817,3.48018929706332,1.6381843179072,0.213502708755801,0.2759050500272,"yohD"
"yrbB",-0.146422441547441,6.17774379569289,1.63850625822643,0.213459251941944,0.2759050500272,"yrbB"
"SL1344_2469",0.214666383603482,3.56460464793061,1.63694690161707,0.213669843442764,0.275973573493364,"SL1344_2469"
"StyR-88",-0.307391006590697,6.65448834406828,1.71881686961796,0.213646648201737,0.275973573493364,"StyR-88"
"sipC",-0.378227278850492,8.52610363253803,1.73953746837735,0.214033509388141,0.276369483425103,"sipC"
"priB",-0.577583094485519,10.0414217993257,1.75062590176882,0.214290530889385,0.276595023929749,"priB"
"SL1344_4424",0.133340085522077,8.39758191141221,1.6321260820592,0.21432254490153,0.276595023929749,"SL1344_4424"
"fadE",0.192523892429684,5.97170680974363,1.6406206608447,0.214890577815849,0.277180193305404,"fadE"
"pduQ",0.278901196666991,2.74938784312852,1.62812899572477,0.21486561532908,0.277180193305404,"pduQ"
"trpA",-0.185719477466834,4.91587276691993,1.62542935664043,0.215233382530054,0.277548352785357,"trpA"
"yceO",0.448533911012947,1.08728952793141,1.62113777902973,0.215819643645132,0.278230174923108,"yceO"
"moaE",-0.131224193589698,5.52711977560801,1.61861517250896,0.216165185473568,0.27855245937756,"moaE"
