"","logFC","logCPM","F","PValue","FDR","genes"
"SL1344_1487",0.185309020767316,4.46041438654991,1.61342863028633,0.216877812701893,0.272619017681668,"SL1344_1487"
"idnK",0.256950276868566,2.32840625274036,1.61233655405525,0.217028238998187,0.272737228379898,"idnK"
"ddlB",-0.11603216004982,7.9503069853048,1.60771792817418,0.217665875401182,0.273467490731303,"ddlB"
"yecC",-0.13858120929912,4.97842596213142,1.60446549119783,0.218116312025742,0.273962243902497,"yecC"
"feoB",0.141080785547138,7.9768718761878,1.60280821464176,0.218346282258916,0.274179898049423,"feoB"
"RyfD",0.211587474239904,4.18318301340334,1.60215394839686,0.218437154747241,0.274222817937296,"RyfD"
"ydiN",0.271751119719056,2.99519083167771,1.59396311114321,0.219578833636494,0.275584540295724,"ydiN"
"phnR",-0.175848989893101,4.47924958348827,1.58402592050874,0.22097402914991,0.277263652139589,"phnR"
"ybjD",-0.126006919724289,6.3660817679032,1.58302064363467,0.221115792500843,0.277369576848179,"ybjD"
"SL1344_2562",0.221602809308351,3.00234711406946,1.58074060288907,0.221437746974354,0.277701421341703,"SL1344_2562"
"SL1344_0042",0.166311819540271,5.67809592303495,1.5770629768255,0.221958294314653,0.278148879562672,"SL1344_0042"
"ynfC",-0.122753785131862,6.02413123225181,1.57733450619631,0.221919808151296,0.278148879562672,"ynfC"
"SL1344_P2_0029",0.360054451749363,1.73890767421563,1.57700113246074,0.221967061218092,0.278148879562672,"SL1344_P2_0029"
"ssaH",0.485286641970858,1.24270443692363,1.57908088101491,0.22236039863458,0.278569605852231,"ssaH"
"hslO",-0.118717012633931,8.77914573238226,1.57005411483451,0.222954638903864,0.279241737021748,"hslO"
"b2145",0.323108315622019,2.47552583334699,1.56523105281019,0.223643539967735,0.280032048362395,"b2145"
"cspD",-0.136131213982458,5.68889701277775,1.56033708380321,0.224345317903894,0.280838070057229,"cspD"
"mrcB",0.122210771221313,8.89414452803257,1.55901541590829,0.224535317195755,0.281003189980819,"mrcB"
"yedI",-0.142123815275121,5.39074727504767,1.55548327382789,0.225044086605533,0.281567058176659,"yedI"
"pcm",-0.118731671424833,6.709459249774,1.55377678598707,0.225290410852362,0.2817980649401,"pcm"
"resA",0.151397480084892,4.70082761788004,1.55339727616302,0.225345237789602,0.2817980649401,"resA"
"SL1344_4432",0.341147433665583,1.86508540871798,1.55143318815322,0.22562925487312,0.282080306492965,"SL1344_4432"
"SL1344_2568",-0.309764348286536,2.21645943374751,1.54751516190207,0.226197174598972,0.282717243807552,"SL1344_2568"
"SL1344_1963",-0.214939587458567,3.49949830915324,1.5418740934807,0.227018029781155,0.283669907014065,"SL1344_1963"
"RydB",0.40827547413966,1.25191770174145,1.53696298114227,0.227735738054939,0.28449322442452,"RydB"
"SL1344_1975",-0.280466522430592,2.49737840079235,1.533430699546,0.228253721574786,0.285066679901173,"SL1344_1975"
"ssaL",0.183451689817189,3.92582114885548,1.53222009461474,0.228431591358938,0.285215180021472,"ssaL"
"uhpT",0.216484675112317,3.68034540265989,1.53093034966454,0.228621282157956,0.285378359173687,"uhpT"
"SL1344_3751",-0.213316046111283,4.17940647630833,1.52882625463854,0.228931173153707,0.285691456280826,"SL1344_3751"
"SL1344_4427A",-0.374995489613266,1.65248344511919,1.52679115568787,0.229231409096784,0.285992346092635,"SL1344_4427A"
"SL1344_0165",0.134248122863155,6.43350518708975,1.52425052319752,0.229606926836794,0.2863869791412,"SL1344_0165"
"yaiW",0.110431704473379,6.18461040868154,1.52344779177306,0.229725736564711,0.286387471073069,"yaiW"
"ttdA",0.229922001997597,3.17704404682682,1.52377365440259,0.229677497273187,0.286387471073069,"ttdA"
"yrfG",-0.121374507471339,7.27685351446476,1.51991182340248,0.23025001326112,0.286893177265337,"yrfG"
"SL1344_3759",-0.235499318495391,3.25291589613173,1.52020492573604,0.230206497430442,0.286893177265337,"SL1344_3759"
"malM",0.178357856910162,3.65056659026631,1.5143958087284,0.231070906066366,0.287841867793719,"malM"
"SL1344_3830",-0.182262800331672,3.70481419785739,1.50494633729398,0.232485831551235,0.289529857675934,"SL1344_3830"
