"","logFC","logCPM","F","PValue","FDR","genes"
"dacC",1.50760003502444,7.14525941001219,270.835609617952,4.15967002242131e-14,3.65824070880943e-12,"dacC"
"metK",-2.91037569139068,9.78641936095857,298.70073558397,6.50645670024199e-14,5.61995197483402e-12,"metK"
"osmY",2.45457972968413,7.85637287753859,340.285811937253,6.64593498756922e-14,5.63971711138111e-12,"osmY"
"proS",-1.69241503997103,9.02467512752187,258.409366436442,6.80749821074621e-14,5.67721876644473e-12,"proS"
"osmE",1.38481022154988,6.8893824456939,257.342806047547,7.10868985377254e-14,5.82792081740641e-12,"osmE"
"wrbA",1.57047454080008,6.2637907566422,254.805631283003,7.88509673723265e-14,6.35670215299905e-12,"wrbA"
"ydcI",2.01585164937037,5.51937049677441,250.976926940459,9.23694959033263e-14,7.32444674892442e-12,"ydcI"
"kdpA",3.24228760442733,9.50726276185163,453.90076253969,1.20901400913371e-13,9.43225929383835e-12,"kdpA"
"yjjK",-1.67996169782998,9.90616603980377,243.819003217402,1.24920999325276e-13,9.59115672597397e-12,"yjjK"
"steA",2.37846251869322,9.08414348629109,317.785788480268,1.36884457137622e-13,1.03454706121043e-11,"steA"
"ybjZ",1.36102106701682,7.73985623027045,239.137165442453,1.52867854327071e-13,1.13757201750776e-11,"ybjZ"
"yjdB",1.57622731801903,9.03787323441761,236.872866073184,1.68767189981062e-13,1.2368589362703e-11,"yjdB"
"ygdI",1.57488248788214,6.13462311271574,236.024385666807,1.7518119995051e-13,1.26470367785167e-11,"ygdI"
"pqaA",2.13004305280384,5.41780490268234,235.600617326836,1.78483557586126e-13,1.26959554124131e-11,"pqaA"
"yaoF",1.94811618156185,5.78263409723316,231.563478465676,2.13571848284204e-13,1.47578147164385e-11,"yaoF"
"yedE",-1.83423722659185,5.43175581573961,231.720587022993,2.12074039870416e-13,1.47578147164385e-11,"yedE"
"yfcF",1.47617343012804,6.19691543456728,230.805751364699,2.20959169018026e-13,1.48441597297249e-11,"yfcF"
