"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"yfbE",0.737024451435312,7.84850582892942,55.9095731883769,3.72427691263566e-08,3.74677775231617e-06,"SL1344_2266","yfbE"
"steA",1.18862037468641,8.06576335567588,84.4038496971578,4.27678631964388e-08,4.13052022751206e-06,"SL1344_1514","steA"
"SL1344_1872",0.833977364546035,6.72830053766644,55.66286313597,4.2115635124999e-08,4.13052022751206e-06,"SL1344_1872","SL1344_1872"
"pagP",1.02704577117257,8.57579588235942,76.6458926479591,4.6611160780124e-08,4.41343716484743e-06,"SL1344_0616","pagP"
"kdpF",1.24062820395597,4.97442084795741,49.7044122686706,4.86880463777562e-08,4.52143415304201e-06,"SL1344_0688A","kdpF"
"aroA",-0.516276162727853,7.77411774466227,47.7640434479159,7.23571597145891e-08,6.59269291059907e-06,"SL1344_0915","aroA"
"ydcW",0.732350161194516,5.98398593968582,47.3694974414746,7.85218404264057e-08,7.02188828553913e-06,"SL1344_1528","ydcW"
"phoQ",0.5569464636725,8.52216177000647,47.2809433489061,7.99806829826776e-08,7.02230396587909e-06,"SL1344_1168","phoQ"
"ydcR",0.63588839295923,6.5101462766712,47.1274074229998,8.25786853499716e-08,7.1209369920538e-06,"SL1344_1529","ydcR"
"yehU",0.726238400269475,6.00923151810313,46.8419852848866,8.76495106550083e-08,7.42560503426377e-06,"SL1344_2137","yehU"
"pagK",1.61775656961685,5.25606309706799,63.8141413843458,1.22421581368897e-07,1.01220524192423e-05,"SL1344_1799","pagK"
"SL1344_4016",0.593361693688572,6.89954895168094,45.2136497349119,1.23669723076268e-07,1.01220524192423e-05,"SL1344_4016","SL1344_4016"
"pmrD",0.921025130469801,6.75044452787612,53.7858296952019,1.4146994083174e-07,1.13859724046079e-05,"SL1344_2273","pmrD"
"yjbA",1.2347451409826,4.57652468454864,44.2182779935713,1.53199734119106e-07,1.21278937059207e-05,"SL1344_4162","yjbA"
"SL1344_1189",0.725092646179175,5.5499578773263,42.9837085836483,2.00607121482035e-07,1.56247062844637e-05,"SL1344_1189","SL1344_1189"
"slyB",0.744941399180878,9.67351946806203,50.9813611212392,2.94290184196731e-07,2.23343153243765e-05,"SL1344_1377","slyB"
"feoA",1.17675918608976,3.91278879646177,41.1697271416814,3.00627561831533e-07,2.23343153243765e-05,"SL1344_3472","feoA"
"yjdB",0.918382094556777,8.72685915318741,60.5216045973243,2.99143869005412e-07,2.23343153243765e-05,"SL1344_4230","yjdB"
"SL1344_1873",0.668698569632271,6.41193840806756,40.8050607762802,3.26502635132189e-07,2.38891094705052e-05,"SL1344_1873","SL1344_1873"
"chaA",0.58247558833869,7.32418147429609,40.138429055445,3.80117156740791e-07,2.73889567401438e-05,"SL1344_1699","chaA"
"rlgA",0.463039895568728,8.27571307522552,40.0750573586379,3.85680070062079e-07,2.73889567401438e-05,"SL1344_P1_0062","rlgA"
"SL1344_1768",0.616952698410723,7.18985433365695,40.3249811124521,4.11254238267688e-07,2.87818364723864e-05,"SL1344_1768","SL1344_1768"
"SL1344_0835",0.694887812861137,5.41238077619447,39.3072659528182,4.60395611096994e-07,3.1760720085534e-05,"SL1344_0835","SL1344_0835"
"SL1344_4015",0.913764679954382,4.95807505184674,39.1663814461909,4.75702199554368e-07,3.23544496006767e-05,"SL1344_4015","SL1344_4015"
"ylaC",1.06041371869519,5.90631955124507,49.654360567732,5.64557799854969e-07,3.78645779930506e-05,"SL1344_0464","ylaC"
"yeaS",-0.621965007056324,6.21003955608161,38.3045819433429,5.81913097989148e-07,3.84939500025972e-05,"SL1344_1205","yeaS"
"SL1344_0082",0.723671627771719,5.65415859416134,38.0010070711062,6.25104522513838e-07,4.07922937732341e-05,"SL1344_0082","SL1344_0082"
"SL1344_1795",1.20092302197754,4.42770092009274,36.9823558992448,7.96742687703224e-07,5.12996058522516e-05,"SL1344_1795","SL1344_1795"
"yehT",0.773744741944489,4.86295268136142,35.8032628282784,1.06000231702152e-06,6.73519893275908e-05,"SL1344_2136","yehT"
"moeB",-0.707528102094883,5.41027479569006,35.5648612980382,1.12369218321369e-06,7.0471552632973e-05,"SL1344_0821","moeB"
"ydcY",-0.898198475528555,4.68415817390239,33.2751461373737,1.99003802855587e-06,0.000123203764614055,"SL1344_1523","ydcY"
"rlgA2",0.534865604199796,7.93644803553163,33.397119293176,2.41462385279357e-06,0.000147597703609369,"SL1344_P1_0063","rlgA2"
"yicC",-0.440450229946224,7.97024156891968,32.2416670540461,2.5934295228864e-06,0.00015654588957523,"SL1344_3701","yicC"
