"","logFC","logCPM","F","PValue","FDR","genes"
"pyrE",-0.301295905359715,5.3483024547126,5.25388172201631,0.0315137833877268,0.0557542685612415,"pyrE"
"gpJ",0.495356096785188,2.74180019820378,5.24433449424011,0.0316535540615784,0.0559810753184113,"gpJ"
"SL1344_1830A",0.778633405968711,1.66460654566676,5.23737155965221,0.0317614125595868,0.0561512984469011,"SL1344_1830A"
"hemF",-0.273249440257258,5.53579750346373,5.23599965433874,0.03177614339885,0.0561568160833897,"hemF"
"ecnB",0.316872282639966,5.26716636172202,5.22860855720209,0.0318852971907291,0.056329138974272,"ecnB"
"fes",-1.3400604619045,5.22090506900608,6.09752608156783,0.0324144597275626,0.0572430601322455,"fes"
"SL1344_0055",0.42112124569026,4.47392562963965,5.2338114850446,0.03261922592436,0.057583648100777,"SL1344_0055"
"galS",0.367289602068938,3.73298563393109,5.16154722891323,0.0328951085980821,0.0580494856946089,"galS"
"yohG",0.308761293083725,4.0143232492372,5.15942676420337,0.0329276181215842,0.0580856633311827,"yohG"
"SL1344_0430A",0.613893746164039,2.86792678089457,5.19874841689597,0.0330945282870584,0.0583588163778714,"SL1344_0430A"
"yejH",-0.279763843869066,5.73883281876057,5.14693943627497,0.0331197975072926,0.0583820920345387,"yejH"
"cbiE",0.554529025838159,2.34320817265334,5.14487394582342,0.0331517063512867,0.0584170504995168,"cbiE"
"sciH",0.43513421162053,3.73273284233368,5.1375749384412,0.0332647418989864,0.0585948858577557,"sciH"
"SL1344_0377",0.31341764299464,4.85632999082499,5.12694469494096,0.033430140214378,0.0588647936719862,"SL1344_0377"
"ygaE",0.37603769541597,3.53706369683546,5.11771461901925,0.0335745012536208,0.0590759776514237,"ygaE"
"SL1344_2902",0.633901617407988,1.77946427133872,5.11791437776072,0.0335713695779757,0.0590759776514237,"SL1344_2902"
"SL1344_0043",0.370015095329695,4.57621786111154,5.1120304111556,0.0336693596312292,0.0592213427404566,"SL1344_0043"
"SL1344_4369A",0.56199802719564,1.66535705306301,5.1096743367288,0.0337008234833397,0.0592551374732513,"SL1344_4369A"
"fepA",-2.16060732293475,7.10799451305257,5.99196070998886,0.0337864561375971,0.0593841164017285,"fepA"
"SL1344_P1_0011",0.34246991558031,4.72770115140537,5.09971582009563,0.0338580230073788,0.0594882881535383,"SL1344_P1_0011"
"iroC",0.265299531181873,5.68334549774833,5.0866500282249,0.0340655211319307,0.0598311277106567,"iroC"
"fixC",0.330651506556285,4.47987352915156,5.08384820717046,0.0341102024226041,0.0598878581191056,"fixC"
"mrcA",-0.215002427064973,7.69690140767564,5.07998930371564,0.0341718489195656,0.0599743226501955,"mrcA"
"yrdC",0.23144815426834,6.74150265622703,5.07593719622694,0.0342367164412112,0.0600663755626183,"yrdC"
"ndh",-0.246246401627371,8.11431718887095,5.07467915150005,0.0342568837446456,0.0600799661612948,"ndh"
"umuD",0.308139971028729,4.03752992993616,5.06595087374237,0.0343971714785346,0.0602822892904608,"umuD"
"SL1344_P1_0074",-0.41981418149954,3.85791706268476,5.0663894757321,0.0343901065615732,0.0602822892904608,"SL1344_P1_0074"
"bolA",0.264522578107715,7.13296954584854,5.05959382267882,0.0344997527043938,0.0604401679938982,"bolA"
"SL1344_1927A",0.548702191978957,2.2181400313661,5.05664520601789,0.034547449865671,0.060501815713342,"SL1344_1927A"
"SL1344_0252",0.341592765534181,4.82540458572084,5.05279289565608,0.0346098768034265,0.0605892052472581,"SL1344_0252"
"yeeA",0.237892889053468,5.26070436162234,5.04877147971868,0.0346751791796808,0.0606815635644414,"yeeA"
"iagB",-0.466051561901217,4.14639457295412,5.11730243248364,0.0348003373336305,0.0608785648038954,"iagB"
"SL1344_3812",-0.384726157682029,6.68376877060224,5.23974683210931,0.0348963558788784,0.0610244661555079,"SL1344_3812"
"nei",-0.253040298642957,5.57856442958133,5.02605299178494,0.0350467039980402,0.0612642304267468,"nei"
"rtsB",-0.59971034202696,2.74068710109285,5.02454876932087,0.0350714604200252,0.0612642304267468,"rtsB"
"SL1344_P1_0038",0.550966741140265,2.23103486757261,5.02475879037036,0.0350680027249069,0.0612642304267468,"SL1344_P1_0038"
"SL1344_2582",0.426139151909591,3.34427289659269,5.0192950502745,0.0351580800026273,0.0613789985990645,"SL1344_2582"
"SL1344_P1_0073",-0.390990286892187,5.24375143359592,5.11364351524827,0.035162539821792,0.0613789985990645,"SL1344_P1_0073"
