"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"hmpA",-0.0388038091538209,5.22485069357035,0.103823387514701,0.749345870018888,0.886934368255452,"SL1344_2518","hmpA"
"SL1344_2554",-0.0994702973858068,2.22412219819818,0.103976276936718,0.749167864319089,0.886934368255452,"SL1344_2554","SL1344_2554"
"rpoE",0.0253387823107371,6.99876030966479,0.103649469229786,0.749548535580151,0.886934368255452,"SL1344_2604","rpoE"
"ygdE",0.0262976878312773,7.69545928943886,0.104591924154712,0.748452542432648,0.886934368255452,"SL1344_2960","ygdE"
"livF",0.0733502020733738,3.04347824215705,0.103969535036681,0.749175710707031,0.886934368255452,"SL1344_3526","livF"
"yhjJ",-0.023883837652521,7.31734961449003,0.10417344195936,0.748938523255413,0.886934368255452,"SL1344_3578","yhjJ"
"STnc1400",0.149669501651417,0.993401419730445,0.104204179754763,0.748902790906361,0.886934368255452,"STnc1400","STnc1400"
"yjeO",0.0508271114796157,4.3786176577991,0.102955834735697,0.750358699122671,0.887455831022135,"SL1344_4283","yjeO"
"ykgD",0.050037296155578,4.15267072494947,0.102349589711104,0.751069267010083,0.887764884261583,"SL1344_0551","ykgD"
"tolB",0.0229109012491173,9.83397213437841,0.102500781388775,0.750891840955332,0.887764884261583,"SL1344_0730","tolB"
"eutN",-0.131363448280948,1.05955488349506,0.102231546472985,0.751207893501037,0.887764884261583,"SL1344_2427","eutN"
"yjiN",0.0610608652364854,3.72847827956011,0.102106049852531,0.751355370051168,0.887764884261583,"SL1344_4447","yjiN"
"yajB",0.0274778399331681,6.68708719992292,0.100678691046675,0.753039814512395,0.889537491262317,"SL1344_0398","yajB"
"malQ",0.03431136129124,5.61100571974634,0.0998562663130071,0.754016357502594,0.890473218483744,"SL1344_3480","malQ"
"leuA",-0.0346371188393967,6.20214573787913,0.0992530907495657,0.754735387070985,0.890934166488003,"SL1344_0113","leuA"
"SL1344_1483",0.077779005808356,2.51125604514268,0.0992193641222355,0.754775662684287,0.890934166488003,"SL1344_1483","SL1344_1483"
"ycbK",0.0240711345283528,7.48903555365697,0.0981819501216615,0.756018223232901,0.891307401884037,"SL1344_0933","ycbK"
"ydiD",-0.055904701058515,4.29260015634047,0.0980411866030178,0.756187378432742,0.891307401884037,"SL1344_1284","ydiD"
"yggA",0.0540246434606282,4.01717456345318,0.0982671828671326,0.755915864115609,0.891307401884037,"SL1344_3042","yggA"
"SL1344_3330",0.0409380255369727,6.19343266233851,0.0992366882704018,0.75549211064475,0.891307401884037,"SL1344_3330","SL1344_3330"
"rplD",0.0271216347883402,12.693674715983,0.0986228880879874,0.755489211483976,0.891307401884037,"SL1344_3406","rplD"
"pepE",0.0455765018070695,4.59583753737253,0.0980312691896469,0.75619930120499,0.891307401884037,"SL1344_4125","pepE"
"SL1344_2315",0.0236633383764307,7.38657118738652,0.0977635003594397,0.756521465713676,0.891469535854402,"SL1344_2315","SL1344_2315"
"poxB",0.055838984877164,4.15704368127453,0.0970667291316198,0.757362064002748,0.892109921134955,"SL1344_0874","poxB"
"appB",-0.0688809529322828,3.18438325569752,0.0968541931542341,0.757619131616163,0.892109921134955,"SL1344_1721","appB"
"eutG",0.103672733794078,2.3193841074891,0.0969351860179875,0.757521132168185,0.892109921134955,"SL1344_2424","eutG"
"pykA",0.0222485932425493,7.79339196717469,0.0957703833820549,0.758934873993285,0.893005971372703,"SL1344_1822","pykA"
"fbaB",0.0508307930789337,4.28796572348874,0.0958539196491235,0.758833171125938,0.893005971372703,"SL1344_2118","fbaB"
"SL1344_2250",-0.0711397594510872,2.80337794625769,0.0957994690373406,0.758899457564811,0.893005971372703,"SL1344_2250","SL1344_2250"
"ylbA",-0.0372321915619481,5.41506037070649,0.0951111513781032,0.759739183695533,0.893493996923015,"SL1344_0519","ylbA"
"SL1344_0908",-0.0576705867325816,5.19007856552548,0.0961544845723405,0.759904710160038,0.893493996923015,"SL1344_0908","SL1344_0908"
"fdhD",0.0330972322104108,5.73539625042088,0.0952339730082258,0.759589101164289,0.893493996923015,"SL1344_3986","fdhD"
"sciN",0.0837520314062843,2.50923848184622,0.0946805336963535,0.760266221127298,0.893701456140146,"SL1344_0275","sciN"
"ygaC",0.0660506473391927,3.3775780756996,0.0942971437586509,0.7607365638372,0.894036716176646,"SL1344_2785","ygaC"
"SL1344_2220",0.181903531384686,0.495981831619005,0.094086034529484,0.760996000464161,0.894124011250957,"SL1344_2220","SL1344_2220"
"dsbB",-0.0351724452017454,6.48441850189108,0.0936742954228006,0.761854537976805,0.894479835616336,"SL1344_1735","dsbB"
"yhhQ",0.0291629517376058,6.22279999565653,0.0934451493661652,0.761785558886393,0.894479835616336,"SL1344_3544","yhhQ"
"SL1344_4432",0.106240761348823,1.4130373995581,0.0935223425833966,0.761690301398824,0.894479835616336,"SL1344_4432","SL1344_4432"
"iraD",0.111128047716267,1.61091671871934,0.0930030923974614,0.762331895596709,0.894822733066725,"SL1344_3104","iraD"
"C1",0.0814087273463131,2.84060792764869,0.0927479344694417,0.762647892135655,0.894976104768671,"SL1344_0951","C1"
"SL1344_1949",0.053266333782297,4.7370191519165,0.0921220545623871,0.763688187497578,0.895544015887762,"SL1344_1949","SL1344_1949"
"cbiJ",0.0822038650586913,2.59692539296608,0.0921186295775047,0.763429286095136,0.895544015887762,"SL1344_2002","cbiJ"
"serA",0.026794512382493,6.55686184531177,0.0920520201869509,0.763512164306315,0.895544015887762,"SL1344_3038","serA"
"cbiM",-0.0776756323039793,2.77560546219219,0.0912853111713024,0.764468508510266,0.896241424519562,"SL1344_1999","cbiM"
"SL1344_1124",0.034023780777119,5.27854017697572,0.090666418607154,0.765243684944138,0.896795331446082,"SL1344_1124","SL1344_1124"
"orf319",-0.0291247904977364,6.0877656319612,0.0904637927535854,0.76549810648597,0.896795331446082,"SL1344_1323","orf319"
"SL1344_P2_0015",0.0406496393254254,4.66136099773627,0.0905962876798572,0.765331707702101,0.896795331446082,"SL1344_P2_0015","SL1344_P2_0015"
"SL1344_1193",-0.0659827247942725,3.17751354149219,0.0898965357538289,0.766212027620364,0.897413990147644,"SL1344_1193","SL1344_1193"
"ygeD",0.0398826801306951,5.24152884728448,0.0896600150095026,0.766510427552837,0.897545794047685,"SL1344_2987","ygeD"
"ychK",-0.0251570567555482,6.98375785395472,0.0894940309558771,0.766720093564721,0.897573656199767,"SL1344_1685","ychK"
"asrC",0.0590828690919333,3.57455383843725,0.0893113541146646,0.766951090966297,0.897626470740729,"SL1344_2512","asrC"
"kdgK",-0.0346464213833453,5.31479625773035,0.0887509269601932,0.767661372531896,0.898240069773813,"SL1344_3577","kdgK"
"yoaG",-0.0913912501525913,2.45847170380576,0.0885928381704553,0.767862175492536,0.898257375352097,"SL1344_1207","yoaG"
"glnK",-0.0820665767455737,2.57598204534173,0.08816603457909,0.768405275761712,0.898383418640609,"SL1344_0456","glnK"
"SL1344_1443",0.102102630725827,2.16394397706672,0.0880697146325803,0.768528039429355,0.898383418640609,"SL1344_1443","SL1344_1443"
"IsrA",0.098426141245591,2.42699271206093,0.0882415428135202,0.768309088593048,0.898383418640609,"IsrA","IsrA"
"ybhS",0.0436724074005878,4.9569673800628,0.0876144723482408,0.769109257100491,0.898845257148662,"SL1344_0792","ybhS"
"gcvT",-0.041869433945614,6.43532670627158,0.0877356330194238,0.770222800942155,0.899711152818013,"SL1344_3031","gcvT"
"rfaQ",-0.0240667337027305,7.83016409167485,0.0868427761256356,0.770098270305959,0.899711152818013,"SL1344_3689","rfaQ"
"yafK",-0.0282334449802752,7.28747012006919,0.0864221298122382,0.77074105323175,0.900098801948275,"SL1344_0308","yafK"
"SL1344_1516",-0.0784451042479792,3.15923219855567,0.0861108721925724,0.771120577279279,0.900324291025541,"SL1344_1516","SL1344_1516"
"potF",0.0440173644634643,4.55808983538754,0.0848697302157038,0.77264891089671,0.900336515159295,"SL1344_0854","potF"
"ymdC",-0.0335538776679362,5.55965692152137,0.0850921183238849,0.772359818440076,0.900336515159295,"SL1344_1085","ymdC"
"SL1344_1778",-0.024006068823978,7.01563410506317,0.0855795101743172,0.771727669127106,0.900336515159295,"SL1344_1778","SL1344_1778"
"SL1344_1806",0.0622670022626249,3.64695060723929,0.0856773670766563,0.771600984547165,0.900336515159295,"SL1344_1806","SL1344_1806"
"SL1344_1957",0.0736753264014718,3.00184807393182,0.0855990391252926,0.771702380848321,0.900336515159295,"SL1344_1957","SL1344_1957"
"mglB",0.0643023859340829,3.19293011700632,0.0849172660350315,0.772587082339081,0.900336515159295,"SL1344_2167","mglB"
"mutM",-0.0335345298979228,6.19794794295515,0.0846960435561422,0.772995483920157,0.900336515159295,"SL1344_3692","mutM"
"SL1344_3956",0.0597147314309721,3.38929085662992,0.084664647207182,0.772915872874571,0.900336515159295,"SL1344_3956","SL1344_3956"
"SL1344_4054",0.054805577635754,4.30494581329916,0.0847908491357247,0.772759889839437,0.900336515159295,"SL1344_4054","SL1344_4054"
"CsrC",-0.0339256909001565,10.8812900726367,0.086166001927143,0.772130343389396,0.900336515159295,"CsrC","CsrC"
"SL1344_0689",0.0579582382162642,3.57279138742914,0.0843059450222385,0.773383651291515,0.900433946632005,"SL1344_0689","SL1344_0689"
"SL1344_1981",0.077193697672406,2.48822848650099,0.0841108496445103,0.7736385265223,0.900433946632005,"SL1344_1981","SL1344_1981"
"exo",-0.0339605460576708,4.97084686946614,0.0841467036607658,0.773591662282532,0.900433946632005,"SL1344_2952","exo"
"nanT",-0.070056976688837,3.28481581339326,0.0839605269686578,0.773835129229147,0.900445744348808,"SL1344_3310","nanT"
"SL1344_0015",0.0945809082166065,3.00278832690311,0.0831261557580818,0.775653413564093,0.900475473480932,"SL1344_0015","SL1344_0015"
"sciB",-0.061646827323725,3.86093890761286,0.0828546988438273,0.775287322269952,0.900475473480932,"SL1344_0261","sciB"
"prpB",-0.0811746502509273,3.91980558275441,0.0837098336693549,0.77537476497944,0.900475473480932,"SL1344_0363","prpB"
"exoX",0.0358017395674758,5.33999274501208,0.0827392523884802,0.775439533518975,0.900475473480932,"SL1344_1812","exoX"
"thiD",0.0569381647451482,3.46947835265224,0.0837634569256232,0.774093161312228,0.900475473480932,"SL1344_2123","thiD"
"SL1344_2797",0.0480486219883134,4.58611371013332,0.0827765851757783,0.77539029922514,0.900475473480932,"SL1344_2797","SL1344_2797"
"norW",0.0613344361941115,3.23976732994123,0.082604629129491,0.775617174163348,0.900475473480932,"SL1344_2821","norW"
"cysG",0.0299595750909694,5.87753816768357,0.0825226674590144,0.775725402708776,0.900475473480932,"SL1344_3444","cysG"
"creA",0.0283622326167615,6.47677499302746,0.0831483889864339,0.77490062228742,0.900475473480932,"SL1344_4514","creA"
"sogL",0.0489231910621909,4.31351674181367,0.0831793073965609,0.774859955363587,0.900475473480932,"SL1344_P2_0071","sogL"
"dcoC",-0.135521373723372,1.08405002058027,0.0815002823698324,0.777080367911325,0.900533020552865,"SL1344_0743","dcoC"
"dmsC",-0.0747759299576284,2.74392107063488,0.0822911101271949,0.776031484384501,0.900533020552865,"SL1344_0904","dmsC"
"SL1344_1965",-0.0455629092159644,4.6838038773537,0.0817560858334614,0.776740491694162,0.900533020552865,"SL1344_1965","SL1344_1965"
"SL1344_2468",0.0960717914065565,1.81014277664342,0.0822018348228145,0.776149616768257,0.900533020552865,"SL1344_2468","SL1344_2468"
"SL1344_2666",-0.0684448350007231,3.2532998162966,0.0815621940218389,0.776998055313807,0.900533020552865,"SL1344_2666","SL1344_2666"
