nr,beta_WT,beta05_WT,beta95_WT,hl_WT,hl05_WT,hl95_WT,gamma,gamma05,gamma95,pib_WT,pib05_WT,pib95_WT,delta_1,delta05_1,delta95_1,p_value_1,beta_1,beta05_1,beta95_1,hl_1,hl05_1,hl95_1,delta_hl_1,delta_hl05_1,delta_hl95_1,p_hl_1,ratio_hl_1,pib_1,pib05_1,pib95_1,p_pib_1,delta_2,delta05_2,delta95_2,p_value_2,beta_2,beta05_2,beta95_2,hl_2,hl05_2,hl95_2,delta_hl_2,delta_hl05_2,delta_hl95_2,p_hl_2,ratio_hl_2,pib_2,pib05_2,pib95_2,p_pib_2,delta_3,delta05_3,delta95_3,p_value_3,beta_3,beta05_3,beta95_3,hl_3,hl05_3,hl95_3,delta_hl_3,delta_hl05_3,delta_hl95_3,p_hl_3,ratio_hl_3,pib_3,pib05_3,pib95_3,p_pib_3,sigma_g1,sigma_g2,sigma_g3,sigma_g4,sigma_g5,sigma_g6,sigma_g7,sigma_g8,sigma_g9,gene,com_id,ltag
1307,0.649638,0.54667855,0.73653315,1.06697450208648,0.941094351136031,1.26792460823538,1.76363,1.445931,1.9645845,0.02479915,0.021567075,0.028739795,-0.0221022,-0.10185665,0.05217197,0.48,0.631198,0.494778587,0.722498365,1.09814540081063,0.95937548188247,1.40092396645118,0.036981251395877,-0.086114863533768,0.207488264123914,0.5655,0.216889914404067,0.0180408,0.01522079,0.02206289,0.004,-0.151525,-0.22263795,-0.080599605,0.001,0.4962205,0.40384435,0.58271925,1.39685317642125,1.18950454257956,1.71637213219145,0.327539266983682,0.163482984880474,0.538772188970536,0.001,1.55060709241179,0.0408647,0.034672005,0.049900145,0,0.0421068,-0.08175542,0.19363245,0.4065,0.685719,0.589575275,0.82499465,1.01083268901598,0.840183850516068,1.17567211988995,-0.066221705908344,-0.288037394894595,0.134439168517127,0.456,-0.298543832544003,0.01543655,0.011526755,0.020423375,0.009,0.1519415,0.398765,0.1483175,0.398727,0.287939,0.3505055,0.23911,0.288795,0.220824,SL1344_1394,ydgJ,SL1344_1394
1308,0.8651975,0.78375145,0.9472895,0.801143300664712,0.731716318034811,0.884396680307808,1.83392,1.674201,1.9801585,0.0205098,0.01772825,0.02336909,-0.0245217,-0.1076978,0.05731577,0.4615,0.84112455,0.759819195,0.926821425,0.824071988775973,0.747875656465335,0.912252799662746,0.023084636434477,-0.054313021620798,0.103949481210147,0.7175,0.285471845009001,0.0184008,0.01504927,0.022165605,0.25,-0.2197365,-0.302857,-0.13210415,0.0015,0.6474215,0.57646445,0.72070055,1.07062737425341,0.961768630154102,1.20241098441432,0.270438491365778,0.159067117520054,0.394471303533117,0.003,2.18037861627223,0.03531,0.029111275,0.0422029,0,-0.1687965,-0.2986329,-0.0019534065,0.0685,0.6933345,0.57810415,0.87370032,0.999729836571106,0.79334660675897,1.19900053128638,0.195364271154344,0.001540125104302,0.399868770891277,0.116,0.955305489148907,0.01798265,0.01420827,0.02378361,0.236,0.1851585,0.3471265,0.185101,0.481997,0.237916,0.4421515,0.288227,0.2317495,0.3430295,SL1344_1395,add,SL1344_1395
1309,0.653474,0.60835085,0.6949251,1.06071118488917,0.997441566857986,1.13938721531017,1.66594,1.4814245,1.811707,0.02618335,0.024191275,0.03095331,0.0230047,-0.0194204,0.064999005,0.448,0.67663408,0.627666406,0.72295916,1.02440477613228,0.958763951004837,1.10432416784452,-0.036591724446062,-0.10069645637189,0.031220625259371,0.639,-0.570811597627448,0.02398315,0.0192899,0.028480235,0.192,-0.06568725,-0.11059195,-0.019634255,0.052,0.586737,0.535152135,0.640080791715,1.18135925349434,1.08290577146768,1.29523392071449,0.119944751460218,0.034229075427007,0.210397070446328,0.0865,1.32605501776728,0.0460799,0.036007235,0.055132785,0,0.00637007,-0.079521585,0.11174715,0.6035,0.65813205,0.57615703,0.76836055,1.05320380699412,0.902112008748325,1.20305257237303,-0.010312576685276,-0.161487586412269,0.141690532365175,0.682,-0.068216146993471,0.0175036,0.015215855,0.021398625,0.002,0.2567135,0.3865625,0.147451,0.363737,0.1158045,0.3088635,0.2542865,0.1122865,0.375676,SL1344_1396,ydgA,SL1344_1396
1310,0.5473965,0.48227775,0.6099592,1.2662616231094,1.13638287232095,1.43723650475098,1.171785,0.79914645,1.417211,0.03926,0.0342886,0.04556491,-0.0356158,-0.097002845,0.018957645,0.3285,0.51317135,0.42703872,0.5783137335,1.35071294228905,1.19856600393183,1.62314845451418,0.087711566124334,-0.046607888666736,0.269039154416189,0.3345,0.483718814939283,0.04903915,0.03454811,0.057161475,0.1015,0.004891585,-0.05371638,0.06188357,0.662,0.5537757,0.4725953605,0.624305855,1.25167496622294,1.11026860018031,1.46668238488957,-0.011662798788155,-0.13923956492138,0.136249697116127,0.6835,-0.091417890119393,0.05959325,0.047182335,0.068530045,0.0015,0.1288865,0.03571518,0.2577406,0.0275,0.672334,0.589041005,0.8005032,1.0309566087663,0.865889412297301,1.17673842378768,-0.244621199358669,-0.446722895668257,-0.066395734231585,0.0345,-1.21038667079741,0.01628325,0.013664535,0.01987145,0,0.349122,0.370738,0.1659755,0.5088555,0.156559,0.2360755,0.190566,0.163136,0.618895,SL1344_1397,manA,SL1344_1397
1311,0.31397,0.2713599,0.3634213,2.20768616967782,1.90728276631907,2.55434648511565,1.167455,0.5078315,1.82683,0.02461405,0.01905945,0.03122326,0.0145006,-0.03073214,0.06545664,0.5695,0.32883845,0.286353807,0.38062673,2.10786537071486,1.82106805945224,2.42059705220361,-0.100789925052676,-0.437617326235776,0.209221481961501,0.401,-0.299233152346433,0.0192296,0.014511055,0.02485274,0.1335,-0.05648,-0.10524325,-0.005748978,0.115,0.25869945,0.21613155,0.3088631255,2.67935314129766,2.24418889935558,3.20706156109533,0.483970294639388,0.044734888896284,0.945206854877982,0.052,1.04928866521126,0.04417705,0.032057265,0.05904003,0.011,-0.0182505,-0.086472985,0.069198735,0.5155,0.2928545,0.23352502,0.387114465,2.36686539135986,1.79054843560431,2.96819236163897,0.139475911280059,-0.430834001168516,0.736816618885332,0.3905,0.233494736762902,0.0287384,0.00719072,0.06207928,0.398,0.3548305,0.403027,0.4999175,0.5349755,0.44905,0.329134,0.322775,0.46518,0.3292165,SL1344_1398,fumA,SL1344_1398
1312,0.157179,0.1341729,0.196869,4.40992232214337,3.52085502573376,5.16607439942813,5.29476,4.4689315,6.0330695,0.01565285,0.001133128,0.05061308,0.06045335,0.001955097,0.13095855,0.125,0.2185645,0.1690834955,0.29060785,3.17136216923395,2.38516332540485,4.09943737333977,-1.21636048466617,-2.20010456600325,-0.041710833842118,0.051,-1.23646028244757,0.0315753,0.005645289,0.056248605,0.2715,-0.0230819,-0.06425202,0.03759943,0.454,0.13445615,0.10360968,0.195249295,5.15519138840996,3.550072840857,6.68998485779356,0.759595164720718,-0.917920148374319,2.33446205666324,0.2345,0.482323406890468,0.05129525,0.005474772,0.12487775,0.182,0.4486185,0.2590339,0.6602918,0,0.608558,0.40871195,0.83122805,1.13899943009169,0.833883291258948,1.69593101475027,-3.2281421505757,-3.95174478708647,-2.34350901223687,0,-4.46120838661103,0.04927545,0.02925812,0.074663705,0.08,0.34918,0.155447,0.342788,0.5826485,0.4185525,0.3087085,0.469758,0.434296,0.409872,SL1344_1400,fumC,SL1344_1400
1313,0.6427305,0.56261795,0.7250006,1.07844140853486,0.956064348059228,1.2320033243937,1.260895,0.917715,1.4909765,0.01711235,0.01429856,0.0206199,0.09188175,0.017480895,0.16081805,0.056,0.73735265,0.63046916,0.83011107,0.940048402814742,0.835005350019465,1.09941493809246,-0.135446847715297,-0.238077123189837,-0.025851423305051,0.094,-1.31975527775815,0.0129636,0.010447405,0.016173735,0.0405,-0.1178525,-0.1897176,-0.049698445,0.013,0.5258146,0.4362816,0.607796055,1.31823494790833,1.14042724849299,1.58876097676024,0.241535024000214,0.092386894754347,0.439741437389058,0.019,1.21860347438086,0.0302038,0.024564055,0.03818721,0.001,-0.0203978,-0.1170538,0.08956605,0.498,0.6222898,0.54112302,0.72085848,1.11386556821232,0.961557935204732,1.28094196433921,0.035549208520136,-0.148567331892685,0.204843440675146,0.5575,0.209984758887626,0.006334535,0.0039563185,0.009992123,0,0.2470815,0.504927,0.176899,0.4299225,0.3174705,0.454164,0.3805915,0.4197805,0.316874,SL1344_1401,tus,SL1344_1401
1314,0.978936,0.82562975,1.1619615,0.708061805553545,0.596531999913929,0.839537557191872,1.21359,0.86175535,1.5103285,0.01940525,0.016442965,0.02287723,-0.124956,-0.263494,0.01940728,0.1125,0.8545685,0.711225725,1.03790061,0.811107809419662,0.667835841156284,0.974581158840895,0.105010288399947,-0.013860376258239,0.223541880406098,0.228,0.885926583981915,0.02370265,0.01881448,0.02926287,0.1265,-0.0235953,-0.1803092,0.1426755,0.4825,0.9503606,0.76542481,1.19311111,0.729351778167004,0.580958116996326,0.905571876692166,0.018142709543653,-0.094974093163019,0.142464453905458,0.653,0.145933518201402,0.0407987,0.03280115,0.05016016,0,-0.178661,-0.3617776,0.03174594,0.1055,0.7932082,0.61886955,1.07012304,0.873852768228074,0.647726620977635,1.12002151407921,0.161085389105055,-0.020966446034537,0.370648603632744,0.172,0.768672066173961,0.02164335,0.016106155,0.02928689,0.275,0.2479975,0.387247,0.3491955,0.6992165,0.4391725,0.353699,0.4074395,0.3267985,0.5013885,SL1344_1402,rstB,SL1344_1402
1315,0.45776,0.37712865,0.55923035,1.51421528022592,1.23946631395292,1.83795949290113,2.56227,2.163189,2.926583,0.044139,0.03533856,0.054694655,-0.01303885,-0.1216471,0.10221515,0.5345,0.44325495,0.352660135,0.569329015,1.56376644626593,1.21748086381979,1.96548210187016,0.043797215179911,-0.321579014525401,0.441761952526249,0.513,0.11005300487665,0.0423291,0.03243952,0.054882815,0.4295,-0.1127505,-0.2249287,-0.0015687815,0.076,0.34128565,0.267829,0.4508154825,2.03098839862306,1.53754082242253,2.58802141355894,0.505871783180763,0.005679430710851,1.0431313671206,0.065,0.941577960268478,0.0603169,0.04465112,0.082029535,0.081,0.182003,0.02424391,0.3648987,0.044,0.6411025,0.48573026,0.8391754,1.08117996909563,0.825986059152676,1.42702080971142,-0.43625374215309,-0.766977044387308,-0.062227563456595,0.0435,-1.31908982283969,0.0435782,0.02872398,0.063112705,0.484,0.3156625,0.520788,0.3689715,0.405434,0.4609,0.4492285,0.4803645,0.4270225,0.3747555,SL1344_1404,ompN,SL1344_1404
1316,1.103335,0.93135535,1.3102455,0.628229125589556,0.529020844408156,0.74423492756938,0.9983825,0.64481335,1.262428,0.01413105,0.01221821,0.016250845,-0.1260625,-0.28228955,0.03202422,0.126,0.9789571,0.827515415,1.174445735,0.708046534371967,0.590191054331603,0.837624558088902,0.080273104858009,-0.020016755871219,0.181999220006007,0.299,0.789110099616236,0.01489905,0.01246004,0.017632735,0.3505,-0.03776905,-0.2106227,0.14161705,0.4305,1.06539115,0.864115225,1.3223763,0.650603478543723,0.524167905268816,0.802146745147469,0.02185815674794,-0.073980589575398,0.137088677683777,0.6705,0.189690687592323,0.03087175,0.025968445,0.03624269,0,-0.1928395,-0.3801561,0.01394577,0.0775,0.90036545,0.71819355,1.201561615,0.769850932070688,0.576871940739154,0.965125880597824,0.138322877046486,-0.007177718309012,0.3011982061684,0.167,0.84925616293275,0.0107603,0.0081837845,0.013913465,0.0665,0.4614975,0.29532,0.4098725,0.763546,0.4283155,0.3183225,0.2908415,0.344215,0.387171,SL1344_1405,rstA,SL1344_1405
