nr,beta_WT,beta05_WT,beta95_WT,hl_WT,hl05_WT,hl95_WT,gamma,gamma05,gamma95,pib_WT,pib05_WT,pib95_WT,delta_1,delta05_1,delta95_1,p_value_1,beta_1,beta05_1,beta95_1,hl_1,hl05_1,hl95_1,delta_hl_1,delta_hl05_1,delta_hl95_1,p_hl_1,ratio_hl_1,pib_1,pib05_1,pib95_1,p_pib_1,delta_2,delta05_2,delta95_2,p_value_2,beta_2,beta05_2,beta95_2,hl_2,hl05_2,hl95_2,delta_hl_2,delta_hl05_2,delta_hl95_2,p_hl_2,ratio_hl_2,pib_2,pib05_2,pib95_2,p_pib_2,delta_3,delta05_3,delta95_3,p_value_3,beta_3,beta05_3,beta95_3,hl_3,hl05_3,hl95_3,delta_hl_3,delta_hl05_3,delta_hl95_3,p_hl_3,ratio_hl_3,pib_3,pib05_3,pib95_3,p_pib_3,sigma_g1,sigma_g2,sigma_g3,sigma_g4,sigma_g5,sigma_g6,sigma_g7,sigma_g8,sigma_g9,gene,com_id,ltag
1,0.234992,0.14879585,0.39971605,2.94966329817217,1.73409903617707,4.65837710760566,1.32463,0.25810425,2.4402795,0.193085,0.12631165,0.2519384,-0.0980627,-0.2337534,0.03857875,0.149,0.1324959,0.069153515,0.303125426,5.23146502016947,2.28666794811343,10.0233109543059,2.25985435671096,-0.425143260822704,6.66898317434198,0.106,0.512539880366924,0.2091415,0.03042291,0.3574595,0.435,0.0107497,-0.12977865,0.21217305,0.5385,0.246131935,0.1274542125,0.52508315,2.81616117572258,1.32007127019926,5.43840210613403,-0.127611475909593,-1.75415658399504,2.2265637468824,0.464,-0.078455540688817,0.2255045,0.12061665,0.32302495,0.3195,-0.05933865,-0.21168005,0.11344505,0.321,0.1681361,0.105187585,0.3810515675,4.12253638672713,1.81904166779862,6.58963005090766,1.11234470436013,-1.2755274488169,3.75519193932383,0.257,0.420888763317188,0.150133,0.0247169,0.28648185,0.31,0.27374,0.4670445,0.3108545,0.6529285,0.512911,0.4843675,0.5012205,0.2963735,0.520744,ncRNA0002,ArcZ,ArcZ
2,0.0709663,0.01634245,0.335881,9.68757837841964,2.00401251899373,40.8649266170313,2.87365,0.2450179,10.63346,0.3575395,0.05204455,0.6650383,-0.05663445,-0.29100235,0.043716595,0.2315,0.0113787,-0.023367415,0.20424742,17.9636309528891,-205.579387106083,258.936530670182,5.99518588307613,-228.391703080454,241.855848361709,0.4185,0.025418337335584,0.2355345,0.020865835,0.6769755,0.372,0.02786165,-0.1683826,0.2799886,0.451,0.1041208,0.03502997,0.42425275,6.65452764533536,1.62853101806525,19.7637499331262,-2.18954213217372,-32.8347219539671,11.2608673590523,0.3595,-0.071448173739109,0.289998,0.04091257,0.5408264,0.384,0.0211134,-0.17403035,0.2277742,0.496,0.0963149,0.0278003055,0.38475605,7.1423826405452,1.77046746403297,24.3657611110172,-1.67412027285503,-32.5744978846003,14.2659614981087,0.392,-0.054177987527851,0.2335865,0.02520534,0.51505645,0.3245,0.4988205,0.4238115,0.6662675,0.680982,0.7894235,0.506387,0.6810785,0.4951965,0.7326505,ncRNA0003,ChiX,ChiX
3,1.281875,1.125538,1.461826,0.54072915209047,0.474165311590979,0.615836320587603,0.1096875,0.0074103845,0.41303525,0.0127656,0.010463965,0.01556893,-0.0342149,-0.2550036,0.2192903,0.452,1.25045905,1.032619115,1.50945575,0.554314191734634,0.459203385162875,0.671251582569353,0.015246267680251,-0.083035056367187,0.121080222527026,0.7185,0.144058376182994,0.0137662,0.01071824,0.017133175,0.3545,0.003983325,-0.2385986,0.27691865,0.5475,1.2798138,1.01997445,1.61336425,0.541600020753438,0.429628450515201,0.679573115023342,-0.001629976141856,-0.098851176415889,0.122090392526767,0.7805,-0.016765645119193,0.03928375,0.03205495,0.04815557,0,-0.2503445,-0.49927145,-0.0077520835,0.063,1.026501,0.7770714,1.31235083,0.675252318935434,0.528172505731166,0.891999346834793,0.130583569642014,0.002973866210489,0.34040607149754,0.1535,0.622352552692024,0.00987465,0.006849376,0.01446583,0.1755,0.419441,0.534442,0.6364265,0.8571155,0.5787515,0.431801,0.4581435,0.5616995,0.6294315,ncRNA0004,CrpT,CrpT
4,0.5728675,0.4420854,0.8495686,1.20996073799594,0.815881355176363,1.56790356789211,4.21294,3.6023795,4.8639165,0.04608335,0.036259475,0.05836416,0.02335295,-0.1307032,0.18809395,0.478,0.591888145,0.465114715,0.90355585,1.17107807295423,0.76713263554389,1.4902714534105,-0.050044046758229,-0.324295340514507,0.241986479917206,0.5,-0.182475152889168,0.0322861,0.024896995,0.040938565,0.0265,-0.04861875,-0.2175175,0.20962705,0.397,0.50680926,0.36058978,0.96275635,1.3676687467065,0.719963140059531,1.92225963993025,0.120100202497165,-0.289784968607268,0.62948170218659,0.407,0.235776530106396,0.06013775,0.04323203,0.08555349,0.099,0.1137,-0.075745175,0.29950575,0.196,0.7029375,0.52291839,0.942143835,0.986072299131736,0.735712725495882,1.32553616954313,-0.195130707609214,-0.524088927738189,0.106356631560883,0.2195,-0.593177782676198,0.02962005,0.018293025,0.048393255,0.099,0.211088,0.4268645,0.466964,0.641646,0.393207,0.4501935,0.340212,0.509424,0.3614945,ncRNA0005,crRNA1,crRNA1
5,0.7620795,0.66055045,0.8867375,0.909547075551344,0.781682500503406,1.04934783026763,1.30765,0.96702245,1.588359,0.020927,0.01802596,0.02471474,0.0220981,-0.092046005,0.1394374,0.491,0.78481178,0.66166145,0.94298725,0.883201811479826,0.735054741681887,1.04758589669902,-0.024865668565046,-0.151007827382057,0.114939504557388,0.6175,-0.197124171634933,0.020929,0.01749294,0.02565395,0.5035,-0.1377355,-0.25811455,-0.015121555,0.0585,0.6213633,0.50435985,0.77316186,1.11552646416321,0.896509795080251,1.3743108250901,0.204404565558234,0.018287372232551,0.417951259120542,0.087,0.957189091286933,0.0556091,0.04676083,0.06791174,0,-0.1536905,-0.29537885,0.02364689,0.0985,0.605652,0.47954815,0.79925511,1.14446446387448,0.867241487117744,1.44541727855125,0.233843895080481,-0.033101349317815,0.519680485502373,0.135,0.818103430128835,0.04380155,0.03105103,0.06005275,0.0025,0.491166,0.3539855,0.2989205,0.6252755,0.4395085,0.3022155,0.3526465,0.403792,0.271507,ncRNA0006,crRNA2,crRNA2
6,0.489937,0.42411585,0.570459,1.41476799398743,1.21506923477483,1.63433453812476,1.21784,0.7386887,1.604672,0.01791425,0.014794995,0.02168329,0.2332945,0.13091835,0.34096745,0,0.7221265,0.6136405,0.85656185,0.959869473781965,0.809220236311679,1.12956562209319,-0.456228373270784,-0.648164188177012,-0.263255901018783,0,-2.37698406362396,0.01258875,0.0106457,0.01499579,0.0215,-0.07692215,-0.1719569,0.022643465,0.15,0.40779615,0.3290923,0.523558985,1.69973944323535,1.32391421421898,2.10623946463787,0.274240705383554,-0.068235583599831,0.670409511228983,0.1385,0.692231950969286,0.0453264,0.0355994,0.057364175,0,-0.19536,-0.29722905,-0.063988605,0.018,0.2949345,0.21818805,0.41711522,2.35017336698712,1.66176434763938,3.17683439669942,0.946189956009503,0.236024863014518,1.74324237373441,0.0165,1.18711133040696,0.04090545,0.010806055,0.076168745,0.113,0.2245825,0.354774,0.3897525,0.702753,0.471622,0.438984,0.3770875,0.370224,0.320162,ncRNA0007,CsrB,CsrB
7,0.321358,0.2755534,0.37389035,2.15693150948234,1.85387829009553,2.51547325534405,1.11255,0.5466209,1.5971535,0.05020745,0.039188205,0.065486575,0.1053065,0.03002841,0.1919616,0.0305,0.42620765,0.3394583154,0.533511,1.62631332597149,1.2992181784901,2.04192148866212,-0.529122188282152,-0.871689308530812,-0.180485568791907,0.015,-1.54457960792641,0.04455045,0.03522445,0.05628225,0.265,-0.08628705,-0.14729685,-0.01232282,0.07,0.235245,0.18582585,0.315652992015,2.94649060495898,2.19591513180556,3.73009019234152,0.796927135764342,0.084996722097459,1.53072697459088,0.042,1.08602795148981,0.092722,0.066667875,0.130901,0.008,-0.101803,-0.1647043,0.03087165,0.1065,0.219835,0.16464445,0.3432188255,3.15303384892841,2.01954907202315,4.20996438016589,1.02177559073959,-0.203110692623735,1.96195624970334,0.0915,1.08678643939111,0.107217,0.03360698,0.21482825,0.116,0.306988,0.2856505,0.3003485,0.571895,0.3784585,0.140509,0.3414695,0.368953,0.34687,ncRNA0008,CsrC,CsrC
8,0.2253045,0.11884575,0.3968052,3.07649071307882,1.74682001938691,5.8323268644617,0.9913755,0.1199209,2.3349275,0.2739705,0.1503963,0.3664301,-0.0836977,-0.24483705,0.1183539,0.244,0.1272085,0.05830625,0.3861464,5.44890794018165,1.7950372767156,11.8880425810187,2.14491746944179,-1.33740689393772,8.41409336728024,0.198,0.342137069432257,0.2767895,0.05159666,0.45356105,0.479,-0.0159946,-0.19797435,0.2416213,0.5135,0.2000285,0.07653,0.49558946,3.46524411994017,1.39863248532978,9.05719705898259,0.225877386818761,-2.53113874926255,5.59451027160267,0.4595,0.042073539328598,0.300435,0.1054811,0.43975475,0.4085,-0.0547771,-0.2129471,0.1053864,0.346,0.16182749,0.0975003,0.339596875,4.28324758151811,2.04109637366946,7.10918001857363,1.01533232704257,-1.86622185700059,3.89885107106267,0.2825,0.352115736770636,0.134974,0.017346755,0.30882715,0.1255,0.366959,0.5175525,0.491919,0.7058445,0.5929485,0.507234,0.5093785,0.558317,0.56783,ncRNA0009,CyaR,CyaR
9,0.2362,0.1303426,0.546315,2.93457740472088,1.26876834968295,5.3178869559122,2.75386,0.6337726,4.869676,0.135912,0.03590808,0.2250061,-0.0327062,-0.2244406,0.1576843,0.438,0.2014007035,0.096022495,0.50946279,3.44163237029619,1.36054542676729,7.21859523585966,0.474279572829897,-1.61372133751325,3.84950957330659,0.3665,0.140517704797277,0.16373,0.051537425,0.3035936,0.347,0.0437184,-0.16047285,0.30006985,0.4265,0.2834141,0.1138208,0.672377845,2.44570466029989,1.03089140665795,6.08982295311687,-0.365485124428811,-2.48131545510123,2.60489651628678,0.38,-0.172738389808723,0.228435,0.094016895,0.35878765,0.1435,-0.03011935,-0.2132772,0.1524112,0.452,0.20059025,0.10824436,0.51445025,3.45553909428452,1.34735568523088,6.40354106928089,0.403050993359498,-1.72463160162646,3.18304316439422,0.373,0.144982780008866,0.136766,0.0186698,0.288045,0.4805,0.5622435,0.6358485,0.5918185,0.5604125,0.809932,0.5774335,0.70445,0.550458,0.8600345,ncRNA0010,DapZ,DapZ
10,0.124764,0.031424705,0.4682884,5.54952827464689,1.47053244577217,22.0143520297828,4.53669,0.68376065,10.751055,0.4021635,0.068196615,0.6216535,-0.0765973,-0.30171745,0.10942395,0.239,0.02747635,-0.012187955,0.4413687,15.7349279967593,-118.146591436787,152.057186432075,8.13778193577598,-132.843218467591,139.890664545245,0.3175,0.061765494421077,0.273835,0.023357195,0.6931324,0.3825,-0.0473067,-0.2709768,0.17574535,0.375,0.056141665,0.00807839,0.4732103,11.6727441843329,1.17688098952866,59.4235620369462,3.90786642161826,-13.5185501170035,52.9979611628477,0.3135,0.079606006918869,0.2982255,0.026521255,0.6324677,0.379,0.0097493,-0.2075679,0.22065965,0.544,0.12669525,0.034089,0.50035515,5.39027185510689,1.33808782675226,19.2904525687655,-0.306545261675666,-14.9578724676848,11.8264811578442,0.4595,-0.020922695764377,0.234545,0.02466293,0.5058659,0.249,0.4861675,0.3489475,0.4758135,0.5530225,0.6006625,0.6588695,0.644535,0.4715215,0.763223,ncRNA0014,Ffs,Ffs
11,0.246299,0.07810041,0.83232355,2.81425092381222,0.832785745186177,8.87507940344721,3.627605,0.84437875,7.2293035,0.359939,0.1804667,0.51388555,-0.137936,-0.35636795,0.1455744,0.1705,0.0631113,0.01483855,0.8375517,10.8358453292303,0.789604800875544,44.2111846717372,7.37994259259563,-0.93627135287242,39.7242647099111,0.16,0.228168102142564,0.3267005,0.03832981,0.6505462,0.456,-0.1015675,-0.31894145,0.19503305,0.2345,0.0880875,0.0239775,0.8826192,7.84447313226329,0.783075753530169,28.8699418309539,3.9800638927721,-1.24564964587997,24.3986941399456,0.2125,0.194923158144903,0.3517055,0.0481125,0.63355825,0.492,0.05282795,-0.182066,0.28872195,0.414,0.29770575,0.13046523,0.8366463,2.32829654678265,0.828483149904376,5.31288869612603,-0.387439572333556,-5.34509090154932,1.73575999201249,0.373,-0.078149822689294,0.173337,0.033910155,0.29173885,0.0525,0.538773,0.6919335,0.475015,0.694102,0.59247,0.6296845,0.6287965,0.459943,0.6834745,ncRNA0015,FnrS,FnrS
12,0.199501,0.13128285,0.3374807,3.47440463719679,2.05388689115807,5.2798002150482,0.9254875,0.1728035,1.886243,0.159709,0.084681685,0.2329109,-0.0154091,-0.1346515,0.09727852,0.53,0.18489915,0.116036375,0.31390104,3.74878518429097,2.20817225785835,5.97353378430892,0.262579391236596,-1.69234079689549,2.47745847138468,0.4275,0.118552472498426,0.128375,0.05283889,0.2104665,0.3105,0.005493475,-0.1175049,0.15303535,0.571,0.20619355,0.11869183,0.386235105,3.36163409475034,1.79462503880277,5.83989411607069,-0.112765743620858,-1.99983891348033,2.31490719996297,0.4835,-0.059756953477991,0.1526245,0.064823395,0.25276475,0.4755,0.228616,0.093910605,0.38258215,0.0075,0.430516,0.3158923,0.61543065,1.61003822844637,1.12627996525959,2.1942515899318,-1.820994519886,-3.59468214917892,-0.571552457194757,0.004,-1.02667148928131,0.05172575,0.034064665,0.072973695,0.008,0.437903,0.4577975,0.403551,0.5435555,0.570748,0.5015445,0.628354,0.387416,0.564841,ncRNA0016,GcvB,GcvB
13,0.378745,0.2766395,0.52719695,1.83011572732214,1.3147786859756,2.50559728673226,2.710255,1.8270485,3.6195455,0.0939325,0.068590095,0.12309635,-0.04531355,-0.18962065,0.1567867,0.406,0.33013655,0.2024447,0.588439215,2.09957742468079,1.17794195091823,3.42388664323597,0.251828747366633,-0.596692746549375,1.45411682634891,0.3685,0.209457909272297,0.1368525,0.090188955,0.19467525,0.0955,-0.1571615,-0.30025085,0.0075769575,0.0765,0.2107355,0.1281244,0.4168801645,3.28918127393091,1.66270135284391,5.40995570890574,1.40432218469574,-0.041535209237105,3.42751695445234,0.0615,0.694111217411212,0.1187995,0.04796431,0.19903325,0.275,-0.174444,-0.3110581,-0.045289715,0.0365,0.197109,0.13179125,0.356800555,3.51656898686925,1.94267519558981,5.25943314379938,1.65078148176799,0.263728767380541,3.32025629540535,0.03,0.988802866795795,0.0775952,0.0070909645,0.22150025,0.407,0.3758715,0.4308505,0.428438,0.7189535,0.5397135,0.4868645,0.545271,0.622274,0.4792735,ncRNA0017,GlmY,GlmY
14,0.1507505,0.055449875,0.36307325,4.59797605912249,1.90911173732744,12.5004328109107,1.33643,0.1709459,3.989974,0.43108,0.1472065,0.5603653,-0.0628192,-0.23627925,0.14617055,0.292,0.06043655,0.0229041,0.41005725,11.4669290532317,1.68876768561626,30.2340505494632,5.50884941999494,-3.60958660126955,24.3672928968769,0.2285,0.29211580620363,0.3474195,0.052162745,0.6323738,0.411,-0.06596175,-0.25070055,0.06765082,0.282,0.06920535,0.037080045,0.247797118,10.0158034162671,2.79726256464317,18.6932693875999,4.36671921107409,-3.34797876139643,14.1139304131893,0.194,0.447996777799015,0.2452655,0.030471295,0.51168405,0.2055,0.01664315,-0.1501522,0.1941281,0.513,0.1594789,0.0879845925,0.385386795,4.34632578063033,1.79857534572182,7.87805197348803,-0.416771065527274,-7.74182102816041,3.32509271346662,0.4285,-0.056896685709084,0.20864,0.03959511,0.35297395,0.092,0.256258,0.3526335,0.3516905,0.611197,0.397833,0.3995735,0.4721205,0.3100065,0.468092,ncRNA0018,GlmZ,GlmZ
15,0.8416455,0.7501228,0.94062565,0.82356191619664,0.736900151248991,0.924044948433258,2.56662,2.401975,2.712162,0.0276708,0.022860595,0.033082725,-0.194206,-0.3194722,-0.08692869,0.006,0.648553,0.53512295,0.74371505,1.0687595009215,0.932006392477098,1.29530457847628,0.246190396699809,0.104483341153652,0.45252205282373,0.0105,1.19317801894611,0.0285402,0.020436585,0.036429615,0.4465,-0.154649,-0.27726565,-0.026729135,0.0445,0.6874848,0.59073525,0.808253175,1.00823638210155,0.857586718669823,1.17336352760282,0.183037570754648,0.029651711091502,0.344657225020356,0.078,1.13252049440551,0.04615235,0.03697093,0.05716652,0.002,-0.0541645,-0.21883925,0.18292125,0.3765,0.78204541,0.6243284,1.0336305,0.886326067256904,0.670594774407884,1.11022851094843,0.057049200725728,-0.150694248499983,0.273164463952557,0.4745,0.263975805660015,0.03389785,0.025199625,0.04411283,0.142,0.4355795,0.3546525,0.2282015,0.5649285,0.296906,0.3790195,0.32554,0.314284,0.6173765,ncRNA0019,GraL,GraL
16,0.8966615,0.7931032,1.019346,0.773031052338221,0.679992054725465,0.873968457859942,0.115571,0.0081259825,0.42452515,0.0116973,0.0094258965,0.014574775,0.06517965,-0.08201121,0.24057015,0.327,0.96330275,0.83011344,1.13854545,0.719552789948154,0.608800624624835,0.835003017844174,-0.052841636034922,-0.18200106919924,0.069839679994076,0.484,-0.409119448268996,0.01427225,0.01104604,0.01835684,0.1655,-0.106591,-0.26674695,0.07246955,0.2105,0.78471695,0.64634965,0.975917245,0.883308561446843,0.710252013855644,1.07240282251396,0.105064837622119,-0.065843007243192,0.299485219450239,0.307,0.540400325491605,0.0307839,0.02354122,0.04070088,0,-0.459777,-0.59122185,-0.32298525,0,0.4325995,0.3607445,0.54396775,1.60228382287762,1.27424315264322,1.9214352086368,0.826279136235571,0.507451793878296,1.14709317766385,0,2.57557036019042,0.0105928,0.005282016,0.02139039,0.411,0.25036,0.6063485,0.5668495,0.5997505,0.5975475,0.463044,0.600155,0.4916245,0.5417515,ncRNA0021,Ig1085,Ig1085
17,0.2377675,0.14941035,0.40937985,2.91523099143584,1.69316436901407,4.63921802219898,1.038555,0.1382497,2.648668,0.1551625,0.07677587,0.2329701,-0.06792135,-0.22655225,0.190299,0.3455,0.1632705,0.06033855,0.47945147,4.24539156300958,1.44570877393408,11.4876343944114,1.23110362467957,-1.48408425187606,8.3178154836788,0.3055,0.17372000571975,0.298461,0.066434685,0.48388505,0.165,0.00809292,-0.1667121,0.2646435,0.5375,0.2473154,0.09879895,0.5526574,2.80268508281586,1.25420865583247,7.01573429725434,-0.08623145445098,-2.03126097569804,3.95630528356806,0.488,-0.044334265114749,0.266508,0.1041257,0.4030924,0.1315,-0.0850078,-0.23017105,0.052144,0.198,0.1499016,0.09274177,0.29838285,4.62401465329204,2.32301500892301,7.47394860465696,1.63219360723604,-0.831958627389713,4.52463495519392,0.1515,0.564296181282432,0.1289665,0.015314685,0.30041835,0.4155,0.544715,0.505924,0.618997,0.711849,0.7552085,0.4502975,0.7158765,0.4745905,0.833672,ncRNA0025,InvR,InvR
18,0.2697135,0.152856,0.45956665,2.56993880329958,1.5082625939668,4.53464166035119,1.369265,0.2158791,3.104304,0.2451995,0.1556813,0.3320735,-0.07828855,-0.2460598,0.1608782,0.3125,0.17815115,0.06174795,0.48359427,3.89078144690791,1.43332384847248,11.2254282833559,1.12943166696462,-1.13084372187617,8.14304800029371,0.2705,0.161034138921672,0.306607,0.06954978,0.47140295,0.3155,-0.08236195,-0.2493162,0.1689079,0.2995,0.1737305,0.07244985,0.51007817,3.9897850069535,1.35890429348352,9.56726872283479,1.25374186766608,-1.20042079035539,6.7544091395435,0.258,0.227925414444885,0.249451,0.05932675,0.4262896,0.489,-0.159887,-0.3239255,-0.0084124505,0.061,0.10393045,0.0460625,0.2724345,6.66003046176531,2.54056167122631,15.0271912523003,3.99055816044499,0.074162279856664,12.1880959017991,0.0485,0.486799608169394,0.1638675,0.01745448,0.4371481,0.312,0.4765995,0.502075,0.609218,0.76776,0.6654285,0.493914,0.6703265,0.594481,0.6932035,ncRNA0027,IsrB,IsrB
19,0.7394795,0.6298696,0.903108,0.937344692401059,0.767513169784908,1.10046140013723,0.389313,0.051297895,0.9451771,0.02651115,0.020655775,0.031906025,-0.06799105,-0.25609215,0.1423843,0.3545,0.67189895,0.50179135,0.91792048,1.03162415047496,0.755127725808294,1.38134542100363,0.092442894568585,-0.158428388571171,0.426908785971718,0.4065,0.27638960188369,0.0419426,0.03087923,0.05707935,0.0185,-0.07191505,-0.30376245,0.2140754,0.3575,0.6722129,0.43775825,0.99727085,1.03114236500644,0.695044069624375,1.58340175548155,0.098739803855966,-0.207759841306688,0.619655367990299,0.4075,0.189550496576261,0.1077725,0.078854955,0.14499665,0,-0.2991825,-0.44776125,-0.1360753,0.0045,0.4417545,0.31439395,0.628348,1.56907780353303,1.1031262979942,2.20470921806743,0.629163887642067,0.208541716758111,1.23767117480939,0.009,1.03394634856536,0.0398917,0.02677209,0.055525045,0.0475,0.7135465,0.4250705,0.8655775,0.5061105,0.7342435,0.608235,0.707218,0.2930025,0.543476,ncRNA0028,IsrC,IsrC
20,0.0998695,0.042495655,0.3707282,6.94053556930601,1.86969348492069,16.3110130814284,4.58537,1.2296005,8.9937385,0.2822805,0.03583468,0.50620955,-0.05764525,-0.2477166,0.097043255,0.224,0.0324254,0.0018829,0.32264428,19.5816460178586,1.00946038705285,112.768175739402,12.1240087086615,-9.95683655304247,106.831839988691,0.183,0.128014848875734,0.2745785,0.028891065,0.6775748,0.466,-0.03354305,-0.2317552,0.17538875,0.409,0.05731925,0.01735753,0.38404715,12.0176149335975,1.72446742645813,38.4159736517778,4.49258622150892,-7.72131269162082,30.4785585590957,0.2925,0.17288505364145,0.2991315,0.037524665,0.6307894,0.4275,0.06597485,-0.1182804,0.3093581,0.2825,0.1824772,0.07954348,0.47799548,3.79644542275441,1.44763649355223,8.70735894477303,-2.60500712592359,-11.6688897454325,2.65376223220085,0.2175,-0.287405214219857,0.227878,0.030017085,0.41203745,0.389,0.492347,0.492474,0.5137345,0.7213455,0.6360185,0.4455815,0.5230095,0.434489,0.5615345,ncRNA0030,IsrE,IsrE
21,0.646824,0.5842958,0.72440505,1.07161636018701,0.956850289499078,1.18629499237064,1.64091,1.4083355,1.8507865,0.0142161,0.011829275,0.017119385,0.0601503,-0.018084295,0.1371172,0.2085,0.7080095,0.626231297,0.79964745,0.97900830554553,0.866815975320971,1.10685490543755,-0.089055205353396,-0.203404074032042,0.029542210241653,0.2855,-0.778802679750741,0.0163053,0.013197135,0.020319295,0.2085,-0.08021875,-0.16190265,0.001742708,0.1125,0.567793,0.4893523,0.657078435,1.22077444278767,1.05489260628957,1.41645841107307,0.151656479397201,-0.002964870885238,0.328796568113325,0.1485,0.856138666839209,0.03323315,0.02660991,0.042012775,0,-0.1411855,-0.25300505,-0.01291148,0.062,0.50905075,0.4059576,0.630044855,1.36164654117428,1.1001553450215,1.70743743205941,0.295815004102884,0.021935604961324,0.622138092649787,0.0725,0.906509574361197,0.02031525,0.01342507,0.029478015,0.098,0.1932605,0.362673,0.2180855,0.486555,0.3313415,0.4759405,0.4754215,0.364449,0.3548255,ncRNA0031,IsrF,IsrF
22,0.5410865,0.43951135,0.68547815,1.28102841638542,1.01118785579015,1.57708596962452,0.509826,0.079811645,1.1215655,0.109938,0.09297496,0.12868905,-0.0293816,-0.1519133,0.092409005,0.4425,0.5119581,0.412029015,0.6530085483,1.3539138870211,1.06146729399886,1.68227759586352,0.072644231461983,-0.226110230930488,0.38518709138555,0.451,0.232429662542116,0.07289355,0.05874377,0.089048415,0.0065,-0.3113115,-0.44155295,-0.1987508,0,0.2284345,0.167156,0.32239715,3.03433667867339,2.1499792499457,4.14670852827163,1.74968454355039,0.941097371782126,2.80763743209425,0,1.65383975269315,0.1613425,0.11503565,0.2144792,0.0475,0.08067625,-0.092393755,0.2719227,0.286,0.61751995,0.46922495,0.8224371,1.1224692911958,0.842796597118901,1.47721722984113,-0.163122118926805,-0.485363153849578,0.190746385297146,0.29,-0.50621150396286,0.0654373,0.0482492,0.086786185,0.0045,0.4782585,0.324268,0.3670195,0.5372295,0.316706,0.444495,0.3582175,0.319207,0.3981085,ncRNA0035,IsrI,IsrI
23,0.2820395,0.22211535,0.3747913,2.45762448367028,1.84942187060931,3.12066384915083,0.797928,0.1187553,1.5646275,0.07318775,0.052132395,0.098033605,-0.0733816,-0.16157615,0.010570155,0.1475,0.2078429,0.15429575,0.2915992,3.33495722396097,2.37705462268832,4.49232840563995,0.859009202360153,-0.116717409003521,2.01373368221536,0.092,0.74390836718718,0.07028435,0.036838145,0.1090849,0.446,-0.1096075,-0.198805,-0.039302545,0.025,0.17114595,0.12545135,0.238731015,4.05003554538157,2.90346514290518,5.525226957809,1.59798775186544,0.475448880956133,2.92575766804698,0.008,1.20351254565325,0.05197875,0.012210375,0.09115812,0.1945,-0.01229305,-0.12991945,0.14735065,0.537,0.26915615,0.16628976,0.4457281,2.57526053137703,1.5550903553488,4.16831032788985,0.111887089595582,-0.910601648288589,1.67992989075333,0.4675,0.071354614499662,0.0967215,0.026910235,0.16941335,0.295,0.407353,0.5036345,0.421085,0.800193,0.5599255,0.506094,0.5177355,0.460191,0.4537355,ncRNA0037,IsrK,IsrK
24,0.116056,0.083946445,0.19136865,5.97252344222968,3.62205214550207,8.25701649857646,0.5122935,0.041890765,1.4309835,0.1095435,0.016249275,0.23541925,0.02407085,-0.057315895,0.1498056,0.469,0.1433437,0.078402455,0.271710255,4.83556082735676,2.55105355013554,8.84088633927376,-0.968564224839389,-4.20305715089505,3.14902111288443,0.3405,-0.299448552518714,0.215076,0.06153144,0.3454133,0.179,-0.004670515,-0.0874922,0.1073993,0.615,0.1124341,0.062439885,0.232903575,6.16491963873879,2.97611224233245,11.1010325714658,0.275010333957161,-3.56886663569951,5.32218702716064,0.469,0.05448795448899,0.2195455,0.04765338,0.3813114,0.219,0.0689302,-0.05152143,0.2707381,0.296,0.1892991,0.082902052,0.3946864,3.66165272665335,1.75620031321532,8.36103847196385,-2.13209692880529,-5.26211849204719,2.46807355076202,0.2215,-0.68117643464315,0.264094,0.05436184,0.41032705,0.1475,0.2187865,0.323054,0.379643,0.592063,0.437962,0.462934,0.433664,0.3806785,0.488465,ncRNA0038,IsrL,IsrL
25,0.2306015,0.17662635,0.3151183,3.00582251760352,2.1996419763059,3.92437069156773,0.742629,0.078900085,1.7059845,0.0804928,0.047495895,0.1210774,-0.07848805,-0.16784065,0.01287491,0.132,0.15088085,0.10588105,0.235458085,4.59400377304325,2.94382417501316,6.54647086866168,1.61352181181606,-0.196790100441058,3.63889001661477,0.0805,0.796656039130636,0.0853704,0.01920593,0.15909635,0.4655,-0.0646247,-0.14668375,0.012561165,0.1745,0.1654258,0.125293525,0.23288402,4.19007906218798,2.97636214208946,5.53218686937747,1.17563752970134,-0.220793278374109,2.56447741000549,0.0955,0.846488890745184,0.0446235,0.00883461,0.09208345,0.1395,-0.085419,-0.17532395,0.0406811,0.163,0.14501335,0.08566175,0.2829486345,4.77988560441485,2.44972802095026,8.0917013858364,1.76668952960747,-0.470843041806434,4.99263868632174,0.116,0.547649526940128,0.1110115,0.012409495,0.3121787,0.383,0.4089375,0.5463205,0.6135305,0.716151,0.6231735,0.526625,0.549499,0.6723385,0.526238,ncRNA0046,MgrR,MgrR
